NOMBRE;TIPO;1998-1;1998-2;1999-1;1999-2;2000-1;2000-2;2001-1;2001-2;2002-1;2002-2;2003-1;2003-2;2004-1;2004-2;2005-1;2005-2;2006-1;2006-2;2007-1;2007-2;2008-1;2008-2;2009-1;2009-2;2010-1;2010-2;2011-1;2011-2;2012-1;2012-2;2013-1;2013-2;2014-1;2014-2;2015-1;2015-2;2016-1;2016-2;2017-1;2017-2;2018-1;2018-2;2019-1;2019-2;2020-1;2020-2;2021-1;2021-2
3302-6536-TECNOLOGIA EN PRODUCCION;TASA DE RETENCIÓN;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;64.76%;64.31%;65.58%;77.06%;80.94%;78.29%;74.42%;78.63%;82.5%;80.2%;85.09%;84.1%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;77.87%;3.32%;100%
3302-6537-TECNOLOGIA EN TELECOMUNICACIONES;TASA DE RETENCIÓN;0%;0%;0%;77.27%;81.7%;86.96%;82.28%;85.34%;85.14%;81.86%;89.72%;83.62%;87.41%;87.31%;85.54%;85.05%;79.73%;79.07%;75.54%;72.61%;68.37%;61.76%;67.02%;79.78%;80.28%;75.5%;69.9%;69.32%;73.98%;79.3%;78.81%;71.42%;79.42%;82.01%;81.01%;77.61%;79.58%;77.77%;75.25%;72.67%;76.9%;74.66%;73.53%;72.81%;78.49%;79.27%;91.63%;90.48%
3302-8483-TECNOLOGIA EN CALIDAD;TASA DE RETENCIÓN;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;54.95%;63.52%;62.34%;75.85%;77.86%;72.6%;74.02%;74.42%;79.81%;74.54%;81.28%;77.33%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;76.88%;0%;100%;100%
3302-8485-TECNOLOGIA EN SISTEMAS DE INFORMACION;TASA DE RETENCIÓN;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;62.8%;59.53%;61.54%;75.94%;80.99%;74.66%;72.69%;65.75%;73.72%;76.36%;81.42%;78.25%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;75.24%
3302-9466-TECNOLOGIA EN MANTENIMIENTO DE EQUIPO BIOMEDICO;TASA DE RETENCIÓN;0%;0%;0%;0%;0%;0%;0%;73.68%;83.17%;81.65%;81.06%;81.22%;85.26%;85.65%;82.9%;81.13%;76.56%;76.92%;74.39%;75.28%;64.02%;59.35%;60.47%;69.85%;81.69%;78.48%;70.95%;73.45%;78.61%;73.75%;74.65%;70.16%;79.33%;81.15%;82.28%;76.64%;82.05%;75.6%;74.75%;74.91%;77.86%;80.41%;72.93%;74.39%;72.58%;77.8%;88.17%;85.51%
3302-11085-TECNOLOGIA EN ELECTRONICA;TASA DE RETENCIÓN;0%;0%;0%;0%;0%;0%;0%;0%;0%;80.33%;80.98%;86.77%;88.13%;88.27%;90.76%;88.33%;85.25%;87.1%;74.18%;69.59%;67.47%;61.67%;70.81%;81.63%;86%;77.61%;73.75%;72.25%;78.7%;77.41%;81.87%;75.17%;80.55%;82.75%;79.25%;80.9%;85.81%;79.09%;77.32%;78.35%;77.53%;81.27%;77.25%;79.66%;79.37%;85.66%;91.06%;93.1%
3302-15600-TECNOLOGIA EN GESTION ADMINISTRATIVA;TASA DE RETENCIÓN;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;80%;67.47%;83.67%;71.52%;75.16%;67.86%;66.11%;67.15%;63.35%;66.93%;72.95%;79.58%;74.23%;74.91%;79.13%;85.96%;83.45%;88.75%;81.28%;85.68%;84.97%;86.73%;84.71%;87.5%;86.25%;86.25%;84.15%;84.64%;83.76%;84.13%;84.96%;84.23%;86.06%;92.88%;88.82%
3302-17719-TECNOLOGIA EN ANALISIS DE COSTOS Y PRESUPUESTOS;TASA DE RETENCIÓN;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;25%;69.23%;56.52%;66.2%;68.48%;73.81%;67.59%;64.53%;67.61%;61.93%;74.79%;79.27%;85%;75%;80.95%;91.67%;88.89%;62.5%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%
3302-17720-TECNOLOGIA EN INFORMATICA MUSICAL;TASA DE RETENCIÓN;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;74.19%;75%;66.67%;77.69%;67.86%;57.14%;46.62%;45.69%;63.27%;76.85%;83.78%;75.54%;73.24%;76.28%;78.7%;72.32%;82.68%;78.53%;75.71%;77.26%;78.36%;78.4%;81.42%;78.27%;81.76%;82.61%;75.81%;77.7%;72.04%;74.83%;79.31%;74.43%;89.24%;83.52%
3302-52129-INGENIERIA ELECTRÓNICA;TASA DE RETENCIÓN;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;90.91%;73.33%;75%;75%;92.86%;90.91%;74.19%;80.52%;87.78%;83.33%;91.6%;94.07%;88.67%;94.52%;89.25%;87.18%;89.86%;87.39%;87.23%;86.4%;82.95%;88.08%;83.82%;90.38%;88.18%;85.43%;83.94%;94.57%;97.13%
3302-52130-INGENIERIA ELECTROMECÁNICA;TASA DE RETENCIÓN;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;80.95%;80.77%;72.22%;90.48%;82.28%;86%;82.41%;78.29%;83.94%;87.44%;92.08%;92.71%;92.9%;91.53%;93.67%;91.73%;86.01%;88.63%;87.41%;87.2%;88.86%;87.19%;93.56%;89.41%;88.46%;84.55%;89.76%;93.81%;95.58%
3302-52131-INGENIERIA DE PRODUCCI¿N;TASA DE RETENCIÓN;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;76.92%;72.73%;82.5%;76.25%;89.91%;86.71%;88.07%;85.29%;87.11%;88.35%;90.26%;90.1%;94.18%;95.71%;94.34%;96.39%;95.54%;95.07%;93.26%;89.65%;93.02%;93.98%;94.34%;93.25%;92.31%;94.29%;92.74%;97.67%;97.36%
3302-52204-INGENIERIA FINANCIERA Y DE NEGOCIOS;TASA DE RETENCIÓN;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;75%;77.27%;78.69%;90.63%;88.76%;81.13%;76.97%;85.9%;94.2%;96.81%;97.83%;96.98%;96.95%;96.3%;97.7%;97.28%;96.29%;93.28%;91.07%;89.61%;93.09%;93.43%;92.05%;93.78%;90.83%;94.16%;96.73%;96.56%
3302-52205-INGENIERIA DE SISTEMAS;TASA DE RETENCIÓN;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;82.5%;76.6%;75.31%;87.88%;88.28%;81.76%;78.19%;80.17%;88.77%;90.91%;97.12%;93.31%;95.08%;92.86%;89.4%;85.37%;90.26%;84.43%;89.82%;88.43%;91.8%;94.49%;94.07%;92.67%;92.14%;92.83%;94.22%;95.11%
3302-52272-INGENIERIA EN DISEÑO INDUSTRIAL;TASA DE RETENCIÓN;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;68.75%;63.16%;78.57%;95.12%;89.8%;87.88%;91.75%;94.57%;88.59%;88.96%;95.78%;90.12%;87.3%;91.15%;93.88%;87.44%;93.08%;96.46%;88.61%;93.75%;82.61%;80%;77.78%;50%;0%;0%;0%;0%
3302-52299-INGENIERÍA DE TELECOMUNICACIONES;TASA DE RETENCIÓN;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;85.71%;79.1%;80%;83.21%;87.42%;79.38%;75.12%;72.22%;86.57%;92.54%;92.7%;88.34%;95.33%;90.8%;88.72%;83.17%;88.36%;88.92%;85.24%;89.51%;86.5%;89.86%;87.39%;89.16%;87.54%;91%;95.99%;96.1%
3302-53340-INGENIERÍA BIOMÉDICA;TASA DE RETENCIÓN;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;65.79%;74.76%;82.41%;75.89%;83.84%;80.99%;84.47%;82.71%;84.28%;82.65%;85.62%;86.86%;86.28%;88.33%;89.64%;87.02%;85.51%;87.4%;88.05%;88.87%;87.73%;88.47%;90.48%;89.46%;95.36%;94.07%
3302-53799-TECNOLOGIA EN CONSTRUCCION DE ACABADOS ARQUITECTONICOS;TASA DE RETENCIÓN;0%;0%;83.33%;85%;82.76%;84.69%;83.82%;80.59%;88.82%;84.62%;81.53%;81.01%;77.63%;75%;78.72%;88.16%;81.72%;66.67%;60.22%;1.96%;33.33%;66.67%;60%;35.29%;40%;54.55%;37.5%;0%;75%;75%;54.55%;52.94%;95%;87.5%;78.7%;82.99%;87.46%;83.15%;81.99%;82.78%;83.38%;82.45%;77.94%;85.31%;81.25%;82.2%;90.13%;80.75%
3302-53800-TECNOLOGIA EN CALIDAD;TASA DE RETENCIÓN;0%;0%;0%;0%;0%;0%;75.68%;77.94%;84.83%;87.13%;86.05%;89.74%;89.79%;88.69%;89.12%;89.36%;87.59%;82.84%;72.33%;2.27%;70%;44.44%;72.73%;61.54%;77.78%;53.85%;71.43%;20%;50%;25%;70%;46.15%;85.71%;72.22%;70.15%;84.62%;84.64%;81.38%;81.68%;80.46%;80.57%;80.77%;75.93%;75.25%;80.04%;77.34%;93.1%;92.05%
3302-53801-TECNOLOGIA EN SISTEMAS DE INFORMACION;TASA DE RETENCIÓN;0%;0%;0%;0%;0%;0%;77.12%;72.09%;87.72%;84.98%;88.56%;86.56%;87.68%;86.9%;81.24%;83.33%;75.27%;78.11%;64.31%;4.26%;40%;52.94%;60%;82.61%;56.58%;70.18%;52.69%;38.33%;44.12%;57.58%;73.53%;54%;79.52%;80.61%;83.7%;77.96%;83.91%;79.16%;78.3%;77.9%;79.96%;81.46%;79.03%;82.09%;80.71%;84.56%;92.77%;87.81%
3302-53802-TECNOLOGIA EN PRODUCCIÓN;TASA DE RETENCIÓN;0%;0%;0%;79.41%;69.23%;78.7%;79.58%;81.76%;85.71%;85.21%;77.03%;85.48%;88.44%;89.07%;88.49%;88.24%;87.3%;83.7%;72.56%;2.22%;55.56%;61.11%;58.54%;51.61%;65.63%;70.83%;54.17%;46.15%;75%;75%;85%;63.64%;75.68%;81.82%;78.8%;82.44%;84.18%;86.37%;82.04%;81.94%;83.7%;82.71%;81.94%;82.67%;86.17%;88.21%;94.9%;95.55%
3302-53803-TECNOLOGIA EN ANALISIS DE COSTOS Y PRESUPUESTOS;TASA DE RETENCIÓN;0%;0%;89.17%;84.45%;83.75%;86.92%;84.53%;87.17%;86.26%;84.32%;85.61%;87.14%;85.43%;91.39%;92.95%;84.5%;83.1%;82.39%;71.7%;1.6%;45.83%;57.69%;58.14%;66.67%;58.49%;59.46%;54.05%;45.16%;62.5%;37.5%;69.57%;48.57%;81.16%;85.9%;83.16%;79.26%;82.57%;83.64%;83.71%;83.46%;83.82%;82.17%;78.57%;82.32%;80.47%;82.22%;92.03%;87.72%
3302-53806-TECNOLOGÍA EN DISEÑO INDUSTRIAL;TASA DE RETENCIÓN;0%;0%;69.44%;84.75%;87.63%;83.33%;83.87%;82.55%;78.48%;82.06%;81.6%;81.97%;89.72%;84.89%;81.28%;82.33%;73.68%;68.51%;65.02%;3.21%;52.17%;64.71%;54.55%;58.97%;53.33%;60.61%;58.06%;40%;76.92%;46.67%;65.22%;73.08%;78%;77.59%;82.18%;84.04%;86.3%;86.36%;82.85%;80.57%;80.57%;84.53%;79.01%;79.55%;77.52%;77.5%;85.37%;83.49%
3302-55072-ADMINISTRACI¿N TECN¿LOGICA;TASA DE RETENCIÓN;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;66.51%;70.38%;83.6%;79.43%;84.21%;82.91%;86.3%;88.94%;88.75%;89.86%;89.31%;88.54%;88.6%;88.47%;90.52%;90.21%;90.3%;87.76%;89.13%;90.13%;95.68%;94.48%
3302-55105-FÍSICA;TASA DE RETENCIÓN;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;54.55%;61.54%;85.71%;92%;61.9%;82.76%;91.67%;81.82%;77.78%;85.71%;91.67%;91.67%;100%;100%;90.91%;100%;100%;100%;100%;100%;75%;100%
3302-90355-ARTES VISUALES;TASA DE RETENCIÓN;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;79.17%;76.58%;77.42%;81.25%;88.43%;86.89%;81.82%;85.71%;86.3%;90.53%;87.96%;90.06%;89.58%;86.19%;86.74%;88.27%;84.8%;89.03%;88.54%;93.23%;91.49%
3302-90442-INGENIERÍA MECATRÓNICA;TASA DE RETENCIÓN;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;81.71%;78.76%;79.28%;83.06%;80.32%;80.21%;84.17%;81.74%;84.56%;85.95%;82.85%;84.7%;84.5%;84.52%;85.46%;85.2%;86.05%;84.86%;85.33%;91.59%;89.44%
3302-103928-INGENIERÍA EN DISEÑO INDUSTRIAL;TASA DE RETENCIÓN;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;100%;100%;100%;100%;0%;0%;0%;0%;0%;0%;0%;100%;0%;89.13%;87.26%;82.33%;82.11%;83.37%;88.13%;85.91%;90.55%;87.88%;88.22%;93.81%;90.9%
3302-104332-QUÍMICA INDUSTRIAL;TASA DE RETENCIÓN;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;84%;84.29%;82.52%;79.35%;87.22%;84.75%;88.89%;85.23%;89.77%;92.44%;90.51%
3302-104682-ARTES DE LA GRABACION Y PRODUCCION MUSICAL;TASA DE RETENCIÓN;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;82.19%;83.33%;82.95%;85.88%;91.71%;91.67%;83.96%;89.13%;92.38%;93.64%
3302-105852-CONTADURÍA PÚBLICA;TASA DE RETENCIÓN;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;83.11%;84.07%;84.41%;85.22%;84.96%;86.72%;94.57%;93.54%
3302-106188-INGENIERÍA DE LA CALIDAD;TASA DE RETENCIÓN;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;89.83%;77.65%;88.54%;75.21%;80.24%;87.59%;88.64%
3302-106314-CINE;TASA DE RETENCIÓN;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;79.17%;88.51%;86.3%;88.46%;88.21%;95.15%;91.37%
3302-106810-TECNOLOGIA EN SISTEMAS ELECTROMECANICOS;TASA DE RETENCIÓN;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;62.61%;64.15%;65.13%;76.74%;77.6%
3302-107004-TECNOLOGIA EN AUTOMATIZACIÓN ELECTRONICA;TASA DE RETENCIÓN;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;60.36%;76.88%;82.69%;80.07%;78.64%
3302-107381-TECNOLOGÍA EN GESTIÓN DE REDES DE  TELECOMUNICACIONES;TASA DE RETENCIÓN;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;64.08%;62.3%;77.64%;68.96%
3302-107390-INGENIERIA FINANCIERA;TASA DE RETENCIÓN;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;91.13%;90.95%;96.7%;96.32%
3302-107391-CIENCIAS AMBIENTALES;TASA DE RETENCIÓN;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;78.33%;83.16%;92.25%;88.54%
3302-107534-TECNOLOGIA EN SISTEMAS DE PRODUCCIÓN;TASA DE RETENCIÓN;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;58.9%;61.11%;75.98%;77.07%
3302-107535-TECNOLOGIA EN DESARROLLO DE SOFTWARE;TASA DE RETENCIÓN;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;66.67%;69.92%;86.52%;83.71%
3302-107696-TECNOLOGÍA EN GESTIÓN ADMINISTRATIVA;TASA DE RETENCIÓN;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;61.62%;72.08%;72.32%
3302-107943-TECNOLOGÍA EN ANÁLISIS DE COSTOS Y PRESUPUESTOS;TASA DE RETENCIÓN;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;40.91%;46.88%
3302-108394-TECNOLOGÍA EN DISEÑO Y PROGRAMACIÓN DE SOLUCIONES DE SOFTWARE COMO SERVICIO;TASA DE RETENCIÓN;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;50%
3302-108639-TECNOLOGÍA EN DESARROLLO DE APLICACIONES PARA DISPOSITIVOS MÓVILES;TASA DE RETENCIÓN;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;42.86%
3302-108789-TECNOLOGIA EN CONTROL DE LA CALIDAD;TASA DE RETENCIÓN;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;72.18%;67.24%
