CÓDIGO SNIES DEL PROGRAMA;PROGRAMA ACADÉMICO;AÑO;SEMESTRE;ADMITIDOS
101804;MAESTRÍA EN ESTUDIOS DE CIENCIA, TECNOLOGÍA, SOCIEDAD E INNOVACIÓN;2016;1;9
101977;MAESTRÍA EN GESTIÓN DE LA INNOVACIÓN TECNOLÓGICA, COOPERACIÓN Y DESARROLLO REGIONAL;2016;1;20
103841;MAESTRIA EN SEGURIDAD INFORMÁTICA;2016;1;18
103928;INGENIERÍA EN DISEÑO INDUSTRIAL;2016;1;148
104332;QUÍMICA INDUSTRIAL;2016;1;59
104682;ARTES DE LA GRABACION Y PRODUCCION MUSICAL;2016;1;85
104740;MAESTRÍA EN ARTES DIGITALES;2016;1;15
104905;MAESTRÍA EN CIENCIAS: INNOVACION EN EDUCACIÓN;2016;1;13
2114;TECNOLOGIA EN ELECTROMECANICA;2017;1;379
6537;TECNOLOGIA EN TELECOMUNICACIONES;2017;1;317
9466;TECNOLOGIA EN MANTENIMIENTO DE EQUIPO BIOMEDICO;2017;1;122
11085;TECNOLOGIA EN ELECTRONICA;2017;1;230
15600;TECNOLOGIA EN GESTION ADMINISTRATIVA;2017;1;885
17720;TECNOLOGIA EN INFORMATICA MUSICAL;2017;1;153
52129;INGENIERIA ELECTR¿NICA;2017;1;37
52130;INGENIERIA ELECTROMEC¿NICA;2017;1;77
52131;INGENIERIA DE PRODUCCIÓN;2017;1;134
52204;INGENIERIA FINANCIERA Y DE NEGOCIOS;2017;1;180
52205;INGENIERIA DE SISTEMAS;2017;1;85
52299;INGENIER¿A DE TELECOMUNICACIONES;2017;1;90
53340;INGENIERÍA BIOMÉDICA;2017;1;424
53798;MAESTRÍA EN GESTIÓN ENERGÉTICA INDUSTRIAL;2017;1;10
53799;TECNOLOGIA EN CONSTRUCCION DE ACABADOS ARQUITECTONICOS;2017;1;137
53800;TECNOLOGIA EN CALIDAD;2017;1;155
53801;TECNOLOGIA EN SISTEMAS DE INFORMACION;2017;1;808
53802;TECNOLOGIA EN PRODUCCIÓN;2017;1;387
53803;TECNOLOGIA EN ANALISIS DE COSTOS Y PRESUPUESTOS;2017;1;758
53806;TECNOLOG¿A EN DISE¿O INDUSTRIAL;2017;1;164
53892;MAESTRÍA EN AUTOMATIZACIÓN Y CONTROL INDUSTRIAL;2017;1;15
55018;ESPECIALIZACIÓN EN FINANZAS;2017;1;36
55019;ESPECIALIZACIÓN EN FORMULACIÓN Y EVALUACIÓN DE PROYECTOS;2017;1;85
