CÓDIGO SNIES DEL PROGRAMA;PROGRAMA ACADÉMICO;AÑO;SEMESTRE;PRIMIPAROS
101804;MAESTRÍA EN ESTUDIOS DE CIENCIA, TECNOLOGÍA, SOCIEDAD E INNOVACIÓN;2016;1;6
101977;MAESTRÍA EN GESTIÓN DE LA INNOVACIÓN TECNOLÓGICA, COOPERACIÓN Y DESARROLLO REGIONAL;2016;1;17
103841;MAESTRIA EN SEGURIDAD INFORMÁTICA;2016;1;14
103928;INGENIERÍA EN DISEÑO INDUSTRIAL;2016;1;132
104332;QUÍMICA INDUSTRIAL;2016;1;51
104682;ARTES DE LA GRABACION Y PRODUCCION MUSICAL;2016;1;76
104740;MAESTRÍA EN ARTES DIGITALES;2016;1;13
104905;MAESTRÍA EN CIENCIAS: INNOVACION EN EDUCACIÓN;2016;1;7
2114;TECNOLOGIA EN ELECTROMECANICA;2017;1;221
6537;TECNOLOGIA EN TELECOMUNICACIONES;2017;1;179
9466;TECNOLOGIA EN MANTENIMIENTO DE EQUIPO BIOMEDICO;2017;1;82
11085;TECNOLOGIA EN ELECTRONICA;2017;1;129
15600;TECNOLOGIA EN GESTION ADMINISTRATIVA;2017;1;572
17720;TECNOLOGIA EN INFORMATICA MUSICAL;2017;1;81
52129;INGENIERIA ELECTR¿NICA;2017;1;23
52130;INGENIERIA ELECTROMEC¿NICA;2017;1;48
52131;INGENIERIA DE PRODUCCIÓN;2017;1;103
52204;INGENIERIA FINANCIERA Y DE NEGOCIOS;2017;1;132
52205;INGENIERIA DE SISTEMAS;2017;1;61
52299;INGENIER¿A DE TELECOMUNICACIONES;2017;1;57
53340;INGENIERÍA BIOMÉDICA;2017;1;281
53798;MAESTRÍA EN GESTIÓN ENERGÉTICA INDUSTRIAL;2017;1;6
53799;TECNOLOGIA EN CONSTRUCCION DE ACABADOS ARQUITECTONICOS;2017;1;66
53800;TECNOLOGIA EN CALIDAD;2017;1;65
53801;TECNOLOGIA EN SISTEMAS DE INFORMACION;2017;1;519
53802;TECNOLOGIA EN PRODUCCIÓN;2017;1;234
53803;TECNOLOGIA EN ANALISIS DE COSTOS Y PRESUPUESTOS;2017;1;497
53806;TECNOLOG¿A EN DISE¿O INDUSTRIAL;2017;1;73
53892;MAESTRÍA EN AUTOMATIZACIÓN Y CONTROL INDUSTRIAL;2017;1;6
55018;ESPECIALIZACIÓN EN FINANZAS;2017;1;27
55019;ESPECIALIZACIÓN EN FORMULACIÓN Y EVALUACIÓN DE PROYECTOS;2017;1;68
55072;ADMINISTRACIÓN TECNÓLOGICA;2017;1;216
90355;ARTES VISUALES;2017;1;67
90442;INGENIERÍA MECATRÓNICA;2017;1;340
101804;MAESTRÍA EN ESTUDIOS DE CIENCIA, TECNOLOGÍA, SOCIEDAD E INNOVACIÓN;2017;1;7
101977;MAESTRÍA EN GESTIÓN DE LA INNOVACIÓN TECNOLÓGICA, COOPERACIÓN Y DESARROLLO REGIONAL;2017;1;8
103841;MAESTRIA EN SEGURIDAD INFORMÁTICA;2017;1;9
103928;INGENIERÍA EN DISEÑO INDUSTRIAL;2017;1;180
104332;QUÍMICA INDUSTRIAL;2017;1;73
104682;ARTES DE LA GRABACION Y PRODUCCION MUSICAL;2017;1;53
104905;MAESTRÍA EN CIENCIAS: INNOVACION EN EDUCACIÓN;2017;1;11
105852;CONTADURÍA PÚBLICA;2017;1;149
2114;TECNOLOGIA EN ELECTROMECANICA;2018;1;199
6537;TECNOLOGIA EN TELECOMUNICACIONES;2018;1;190
9466;TECNOLOGIA EN MANTENIMIENTO DE EQUIPO BIOMEDICO;2018;1;123
11085;TECNOLOGIA EN ELECTRONICA;2018;1;128
15600;TECNOLOGIA EN GESTION ADMINISTRATIVA;2018;1;613
17720;TECNOLOGIA EN INFORMATICA MUSICAL;2018;1;85
52129;INGENIERIA ELECTR¿NICA;2018;1;34
52130;INGENIERIA ELECTROMEC¿NICA;2018;1;50
52131;INGENIERIA DE PRODUCCI¿N;2018;1;69
52204;INGENIERIA FINANCIERA Y DE NEGOCIOS;2018;1;113
52205;INGENIERIA DE SISTEMAS;2018;1;77
52299;INGENIER¿A DE TELECOMUNICACIONES;2018;1;30
53340;INGENIERÍA BIOMÉDICA;2018;1;212
53798;MAESTRÍA EN GESTIÓN ENERGÉTICA INDUSTRIAL;2018;1;4
53799;TECNOLOGIA EN CONSTRUCCION DE ACABADOS ARQUITECTONICOS;2018;1;93
53800;TECNOLOGIA EN CALIDAD;2018;1;138
53801;TECNOLOGIA EN SISTEMAS DE INFORMACION;2018;1;478
53802;TECNOLOGIA EN PRODUCCIÓN;2018;1;227
53803;TECNOLOGIA EN ANALISIS DE COSTOS Y PRESUPUESTOS;2018;1;486
53806;TECNOLOGÍA EN DISEÑO INDUSTRIAL;2018;1;105
