CÓDIGO SNIES DEL PROGRAMA;PROGRAMA ACADÉMICO;AÑO;SEMESTRE;GRADUADOS
53340;INGENIERIA BIOMEDICA;2023;2;61
106188;INGENIERIA DE LA CALIDAD;2023;2;7
52131;INGENIERIA DE PRODUCCION;2023;2;15
52205;INGENIERIA DE SISTEMAS;2023;2;24
52299;INGENIERIA DE TELECOMUNICACIONES;2023;2;12
52130;INGENIERIA ELECTROMECANICA;2023;2;18
52129;INGENIERIA ELECTRONICA;2023;2;6
52272;INGENIERIA EN DISEÑO INDUSTRIAL;2023;2;25
107390;INGENIERIA FINANCIERA;2023;2;24
52204;INGENIERIA FINANCIERA Y DE NEGOCIOS;2023;2;6
90442;INGENIERIA MECATRONICA;2023;2;41
104740;MAESTRIA EN ARTES DIGITALES;2023;2;1
53892;MAESTRIA EN AUTOMATIZACION Y CONTROL INDUSTRIAL;2023;2;5
104905;MAESTRIA EN CIENCIAS: INNOVACION EN EDUCACION;2023;2;7
102977;MAESTRIA EN DESARROLLO SOSTENIBLE;2023;2;1
101977;MAESTRIA EN GESTION DE LA INNOVACION TECNOLOGICA, COOPERACION Y DESARROLLO REGIONAL;2023;2;3
106584;MAESTRIA EN GESTION DE ORGANIZACIONES;2023;2;1
53798;MAESTRIA EN GESTION ENERGETICA INDUSTRIAL;2023;2;1
104318;MAESTRIA EN INGENIERIA BIOMEDICA;2023;2;3
106505;MAESTRIA EN METROLOGIA;2023;2;1
103841;MAESTRIA EN SEGURIDAD INFORMATICA;2023;2;1
9466;TECNOLOGIA EN MANTENIMIENTO DE EQUIPO BIOMEDICO;2023;2;24
6536;TECNOLOGIA EN PRODUCCION;2023;2;7
104332;QUIMICA INDUSTRIAL;2023;2;13
8485;TECNOLOGIA EN SISTEMAS DE INFORMACION;2023;2;21
107534;TECNOLOGIA EN SISTEMAS DE PRODUCCION;2023;2;6
106810;TECNOLOGIA EN SISTEMAS ELECTROMECANICOS;2023;2;4
6537;TECNOLOGIA EN TELECOMUNICACIONES;2023;2;8
55072;ADMINISTRACION TECNOLOGICA;2024;1;97
4750;TECNOLOGIA EN ANALISIS DE COSTOS Y PRESUPUESTOS;2024;1;93
104682;ARTES DE LA GRABACION Y PRODUCCION MUSICAL;2024;1;13
90355;ARTES VISUALES;2024;1;6
107004;TECNOLOGIA EN AUTOMATIZACION ELECTRONICA;2024;1;13
53800;TECNOLOGIA EN CALIDAD;2024;1;16
107391;CIENCIAS AMBIENTALES;2024;1;6
106314;CINE;2024;1;5
4277;TECNOLOGIA EN CONSTRUCCION DE ACABADOS ARQUITECTONICOS;2024;1;17
105852;CONTADURIA PUBLICA;2024;1;53
108789;TECNOLOGIA EN CONTROL DE LA CALIDAD;2024;1;13
108639;TECNOLOGIA EN DESARROLLO DE APLICACIONES PARA DISPOSITIVOS MOVILES;2024;1;1
107535;TECNOLOGIA EN DESARROLLO DE SOFTWARE;2024;1;51
1518;TECNOLOGIA EN DISEÑO INDUSTRIAL;2024;1;21
108394;TECNOLOGIA EN DISEÑO Y PROGRAMACION DE SOLUCIONES DE SOFTWARE COMO SERVICIO;2024;1;4
2114;TECNOLOGIA EN ELECTROMECANICA;2024;1;12
11085;TECNOLOGIA EN ELECTRONICA;2024;1;4
110901;ESPECIALIZACION EN CIBERSEGURIDAD;2024;1;38
55018;ESPECIALIZACION EN FINANZAS;2024;1;41
55019;ESPECIALIZACION EN FORMULACION Y EVALUACION DE PROYECTOS;2024;1;65
107695;ESPECIALIZACION EN GESTION DE SISTEMAS ENERGETICOS INDUSTRIALES;2024;1;7
110940;ESPECIALIZACION EN GESTION DEL MANTENIMIENTO INDUSTRIAL;2024;1;47
111033;ESPECIALIZACION EN INGENIERIA DE SOFTWARE;2024;1;36
55105;FISICA;2024;1;1
15600;TECNOLOGIA EN GESTION ADMINISTRATIVA;2024;1;247
107381;TECNOLOGIA EN GESTION DE REDES DE  TELECOMUNICACIONES;2024;1;8
17720;TECNOLOGIA EN INFORMATICA MUSICAL;2024;1;8
53340;INGENIERIA BIOMEDICA;2024;1;86
106188;INGENIERIA DE LA CALIDAD;2024;1;27
52131;INGENIERIA DE PRODUCCION;2024;1;45
52205;INGENIERIA DE SISTEMAS;2024;1;88
52299;INGENIERIA DE TELECOMUNICACIONES;2024;1;14
52130;INGENIERIA ELECTROMECANICA;2024;1;49
52129;INGENIERIA ELECTRONICA;2024;1;11
52272;INGENIERIA EN DISEÑO INDUSTRIAL;2024;1;22
107390;INGENIERIA FINANCIERA;2024;1;82
52204;INGENIERIA FINANCIERA Y DE NEGOCIOS;2024;1;5
90442;INGENIERIA MECATRONICA;2024;1;53
104740;MAESTRIA EN ARTES DIGITALES;2024;1;3
53892;MAESTRIA EN AUTOMATIZACION Y CONTROL INDUSTRIAL;2024;1;4
104905;MAESTRIA EN CIENCIAS: INNOVACION EN EDUCACION;2024;1;4
102977;MAESTRIA EN DESARROLLO SOSTENIBLE;2024;1;7
101804;MAESTRIA EN ESTUDIOS DE CIENCIA, TECNOLOGIA, SOCIEDAD E INNOVACION;2024;1;3
101977;MAESTRIA EN GESTION DE LA INNOVACION TECNOLOGICA, COOPERACION Y DESARROLLO REGIONAL;2024;1;6
106584;MAESTRIA EN GESTION DE ORGANIZACIONES;2024;1;6
53798;MAESTRIA EN GESTION ENERGETICA INDUSTRIAL;2024;1;3
104318;MAESTRIA EN INGENIERIA BIOMEDICA;2024;1;7
103841;MAESTRIA EN SEGURIDAD INFORMATICA;2024;1;4
9466;TECNOLOGIA EN MANTENIMIENTO DE EQUIPO BIOMEDICO;2024;1;42
6536;TECNOLOGIA EN PRODUCCION;2024;1;29
104332;QUIMICA INDUSTRIAL;2024;1;20
8485;TECNOLOGIA EN SISTEMAS DE INFORMACION;2024;1;36
107534;TECNOLOGIA EN SISTEMAS DE PRODUCCION;2024;1;10
106810;TECNOLOGIA EN SISTEMAS ELECTROMECANICOS;2024;1;20
6537;TECNOLOGIA EN TELECOMUNICACIONES;2024;1;6
