CÓDIGO SNIES DEL PROGRAMA;PROGRAMA ACADÉMICO;AÑO;SEMESTRE;MATRICULADOS
106584;MAESTRIA EN GESTION DE ORGANIZACIONES;2023;2;25
53798;MAESTRIA EN GESTION ENERGETICA INDUSTRIAL;2023;2;16
104318;MAESTRIA EN INGENIERIA BIOMEDICA;2023;2;12
106505;MAESTRIA EN METROLOGIA;2023;2;10
103841;MAESTRIA EN SEGURIDAD INFORMATICA;2023;2;45
9466;TECNOLOGIA EN MANTENIMIENTO DE EQUIPO BIOMEDICO;2023;2;438
6536;TECNOLOGIA EN PRODUCCION;2023;2;66
104332;QUIMICA INDUSTRIAL;2023;2;472
8485;TECNOLOGIA EN SISTEMAS DE INFORMACION;2023;2;122
107534;TECNOLOGIA EN SISTEMAS DE PRODUCCION;2023;2;389
106810;TECNOLOGIA EN SISTEMAS ELECTROMECANICOS;2023;2;588
6537;TECNOLOGIA EN TELECOMUNICACIONES;2023;2;36
1518;TECNOLOGIA EN DISEÑO INDUSTRIAL;2022;2;2
2114;TECNOLOGIA EN ELECTROMECANICA;2022;2;80
4750;TECNOLOGIA EN ANALISIS DE COSTOS Y PRESUPUESTOS;2022;2;1
6536;TECNOLOGIA EN PRODUCCION;2022;2;2
6537;TECNOLOGIA EN TELECOMUNICACIONES;2022;2;60
8483;TECNOLOGIA EN CALIDAD;2022;2;2
9466;TECNOLOGIA EN MANTENIMIENTO DE EQUIPO BIOMEDICO;2022;2;549
11085;TECNOLOGIA EN ELECTRONICA;2022;2;44
15600;TECNOLOGIA EN GESTION ADMINISTRATIVA;2022;2;2753
17720;TECNOLOGIA EN INFORMATICA MUSICAL;2022;2;309
52129;INGENIERIA ELECTRÓNICA;2022;2;160
52130;INGENIERIA ELECTROMECÁNICA;2022;2;299
52131;INGENIERIA DE PRODUCCIÓN;2022;2;434
52204;INGENIERIA FINANCIERA Y DE NEGOCIOS;2022;2;50
52205;INGENIERIA DE SISTEMAS;2022;2;474
52299;INGENIERÍA DE TELECOMUNICACIONES;2022;2;187
53340;INGENIERÍA BIOMÉDICA;2022;2;1336
53798;MAESTRÍA EN GESTIÓN ENERGÉTICA INDUSTRIAL;2022;2;17
53799;TECNOLOGIA EN CONSTRUCCION DE ACABADOS ARQUITECTONICOS;2022;2;462
53800;TECNOLOGIA EN CALIDAD;2022;2;183
53801;TECNOLOGIA EN SISTEMAS DE INFORMACION;2022;2;265
53802;TECNOLOGIA EN PRODUCCIÓN;2022;2;161
53803;TECNOLOGIA EN ANALISIS DE COSTOS Y PRESUPUESTOS;2022;2;1810
53806;TECNOLOGÍA EN DISEÑO INDUSTRIAL;2022;2;414
53892;MAESTRÍA EN AUTOMATIZACIÓN Y CONTROL INDUSTRIAL;2022;2;38
55018;ESPECIALIZACIÓN EN FINANZAS;2022;2;46
55019;ESPECIALIZACIÓN EN FORMULACIÓN Y EVALUACIÓN DE PROYECTOS;2022;2;124
55072;ADMINISTRACIÓN TECNÓLOGICA;2022;2;1753
55105;FÍSICA;2022;2;2
90355;ARTES VISUALES;2022;2;320
90442;INGENIERÍA MECATRÓNICA;2022;2;1632
101804;MAESTRÍA EN ESTUDIOS DE CIENCIA, TECNOLOGÍA, SOCIEDAD E INNOVACIÓN;2022;2;6
101977;MAESTRÍA EN GESTIÓN DE LA INNOVACIÓN TECNOLÓGICA, COOPERACIÓN Y DESARROLLO REGIONAL;2022;2;21
102977;MAESTRÍA EN DESARROLLO SOSTENIBLE;2022;2;19
103841;MAESTRIA EN SEGURIDAD INFORMÁTICA;2022;2;41
103928;INGENIERÍA EN DISEÑO INDUSTRIAL;2022;2;725
104318;MAESTRÍA EN INGENIERÍA BIOMÉDICA;2022;2;20
104332;QUÍMICA INDUSTRIAL;2022;2;452
104682;ARTES DE LA GRABACION Y PRODUCCION MUSICAL;2022;2;402
104740;MAESTRÍA EN ARTES DIGITALES;2022;2;20
104905;MAESTRÍA EN CIENCIAS: INNOVACION EN EDUCACIÓN;2022;2;25
105852;CONTADURÍA PÚBLICA;2022;2;1599
106188;INGENIERÍA DE LA CALIDAD;2022;2;448
106314;CINE;2022;2;345
106505;MAESTRÍA EN METROLOGÍA;2022;2;6
106584;MAESTRÍA EN GESTIÓN DE ORGANIZACIONES;2022;2;27
106810;TECNOLOGIA EN SISTEMAS ELECTROMECANICOS;2022;2;582
106973;DOCTORADO EN INGENIERÍA;2022;2;17
107004;TECNOLOGIA EN AUTOMATIZACIÓN ELECTRONICA;2022;2;443
107381;TECNOLOGÍA EN GESTIÓN DE REDES DE  TELECOMUNICACIONES;2022;2;496
107390;INGENIERIA FINANCIERA;2022;2;697
107391;CIENCIAS AMBIENTALES;2022;2;353
107423;MAESTRÍA EN ESTUDIOS DE CIENCIA, TECNOLOGÍA, SOCIEDAD E INNOVACIÓN;2022;2;16
107534;TECNOLOGIA EN SISTEMAS DE PRODUCCIÓN;2022;2;411
107535;TECNOLOGIA EN DESARROLLO DE SOFTWARE;2022;2;2132
107695;ESPECIALIZACIÓN EN GESTIÓN DE SISTEMAS ENERGÉTICOS INDUSTRIALES;2022;2;8
107696;TECNOLOGÍA EN GESTIÓN ADMINISTRATIVA;2022;2;635
107943;TECNOLOGÍA EN ANÁLISIS DE COSTOS Y PRESUPUESTOS;2022;2;260
108394;TECNOLOGÍA EN DISEÑO Y PROGRAMACIÓN DE SOLUCIONES DE SOFTWARE COMO SERVICIO;2022;2;148
108639;TECNOLOGÍA EN DESARROLLO DE APLICACIONES PARA DISPOSITIVOS MÓVILES;2022;2;75
108789;TECNOLOGIA EN CONTROL DE LA CALIDAD;2022;2;343
109927;INTERPRETACIÓN Y TRADUCCIÓN LENGUA DE SEÑAS COLOMBIANA - ESPAÑOL;2022;2;56
110901;ESPECIALIZACIÓN EN CIBERSEGURIDAD;2022;2;32
110902;ESPECIALIZACIÓN EN INGENIERÍA DE SOFTWARE;2022;2;19
110940;ESPECIALIZACIÓN EN GESTIÓN DEL MANTENIMIENTO INDUSTRIAL;2022;2;27
