CÓDIGO SNIES DEL PROGRAMA;PROGRAMA ACADÉMICO;AÑO;SEMESTRE;INSCRITOS
106973;DOCTORADO EN INGENIERIA;2023;1;3
110901;ESPECIALIZACION EN CIBERSEGURIDAD;2023;1;45
55018;ESPECIALIZACION EN FINANZAS;2023;1;60
55019;ESPECIALIZACION EN FORMULACION Y EVALUACION DE PROYECTOS;2023;1;84
107695;ESPECIALIZACION EN GESTION DE SISTEMAS ENERGETICOS INDUSTRIALES;2023;1;12
110940;ESPECIALIZACION EN GESTION DEL MANTENIMIENTO INDUSTRIAL;2023;1;62
111033;ESPECIALIZACION EN INGENIERIA DE SOFTWARE;2023;1;44
15600;TECNOLOGIA EN GESTION ADMINISTRATIVA;2023;1;900
107381;TECNOLOGIA EN GESTION DE REDES DE  TELECOMUNICACIONES;2023;1;131
17720;TECNOLOGIA EN INFORMATICA MUSICAL;2023;1;79
53340;INGENIERIA BIOMEDICA;2023;1;394
106188;INGENIERIA DE LA CALIDAD;2023;1;121
52131;INGENIERIA DE PRODUCCION;2023;1;66
52205;INGENIERIA DE SISTEMAS;2023;1;93
52299;INGENIERIA DE TELECOMUNICACIONES;2023;1;27
52130;INGENIERIA ELECTROMECANICA;2023;1;56
52129;INGENIERIA ELECTRONICA;2023;1;34
52272;INGENIERIA EN DISEÑO INDUSTRIAL;2023;1;165
107390;INGENIERIA FINANCIERA;2023;1;156
52204;INGENIERIA FINANCIERA Y DE NEGOCIOS;2023;1;1
90442;INGENIERIA MECATRONICA;2023;1;377
109927;INTERPRETACION Y TRADUCCION LENGUA DE SEÑAS COLOMBIANA - ESPAÑOL;2023;1;119
104740;MAESTRIA EN ARTES DIGITALES;2023;1;3
53892;MAESTRIA EN AUTOMATIZACION Y CONTROL INDUSTRIAL;2023;1;8
104905;MAESTRIA EN CIENCIAS: INNOVACION EN EDUCACION;2023;1;4
102977;MAESTRIA EN DESARROLLO SOSTENIBLE;2023;1;1
101804;MAESTRIA EN ESTUDIOS DE CIENCIA, TECNOLOGIA, SOCIEDAD E INNOVACION;2023;1;12
101977;MAESTRIA EN GESTION DE LA INNOVACION TECNOLOGICA, COOPERACION Y DESARROLLO REGIONAL;2023;1;6
106584;MAESTRIA EN GESTION DE ORGANIZACIONES;2023;1;13
53798;MAESTRIA EN GESTION ENERGETICA INDUSTRIAL;2023;1;5
104318;MAESTRIA EN INGENIERIA BIOMEDICA;2023;1;4
106505;MAESTRIA EN METROLOGIA;2023;1;4
103841;MAESTRIA EN SEGURIDAD INFORMATICA;2023;1;8
9466;TECNOLOGIA EN MANTENIMIENTO DE EQUIPO BIOMEDICO;2023;1;59
104332;QUIMICA INDUSTRIAL;2023;1;138
107534;TECNOLOGIA EN SISTEMAS DE PRODUCCION;2023;1;125
106810;TECNOLOGIA EN SISTEMAS ELECTROMECANICOS;2023;1;188
55072;ADMINISTRACION TECNOLOGICA;2024;1;308
4750;TECNOLOGIA EN ANALISIS DE COSTOS Y PRESUPUESTOS;2024;1;655
104682;ARTES DE LA GRABACION Y PRODUCCION MUSICAL;2024;1;284
90355;ARTES VISUALES;2024;1;122
107004;TECNOLOGIA EN AUTOMATIZACION ELECTRONICA;2024;1;141
107391;CIENCIAS AMBIENTALES;2024;1;133
106314;CINE;2024;1;228
4277;TECNOLOGIA EN CONSTRUCCION DE ACABADOS ARQUITECTONICOS;2024;1;127
105852;CONTADURIA PUBLICA;2024;1;785
108789;TECNOLOGIA EN CONTROL DE LA CALIDAD;2024;1;123
108639;TECNOLOGIA EN DESARROLLO DE APLICACIONES PARA DISPOSITIVOS MOVILES;2024;1;66
107535;TECNOLOGIA EN DESARROLLO DE SOFTWARE;2024;1;2767
1518;TECNOLOGIA EN DISEÑO INDUSTRIAL;2024;1;98
108394;TECNOLOGIA EN DISEÑO Y PROGRAMACION DE SOLUCIONES DE SOFTWARE COMO SERVICIO;2024;1;153
106973;DOCTORADO EN INGENIERIA;2024;1;8
110901;ESPECIALIZACION EN CIBERSEGURIDAD;2024;1;191
55018;ESPECIALIZACION EN FINANZAS;2024;1;89
55019;ESPECIALIZACION EN FORMULACION Y EVALUACION DE PROYECTOS;2024;1;103
107695;ESPECIALIZACION EN GESTION DE SISTEMAS ENERGETICOS INDUSTRIALES;2024;1;8
110940;ESPECIALIZACION EN GESTION DEL MANTENIMIENTO INDUSTRIAL;2024;1;62
111033;ESPECIALIZACION EN INGENIERIA DE SOFTWARE;2024;1;304
15600;TECNOLOGIA EN GESTION ADMINISTRATIVA;2024;1;1167
111337;TECNOLOGIA EN GESTION COMERCIAL;2024;1;238
107381;TECNOLOGIA EN GESTION DE REDES DE  TELECOMUNICACIONES;2024;1;135
17720;TECNOLOGIA EN INFORMATICA MUSICAL;2024;1;100
53340;INGENIERIA BIOMEDICA;2024;1;404
106188;INGENIERIA DE LA CALIDAD;2024;1;164
52131;INGENIERIA DE PRODUCCION;2024;1;54
52205;INGENIERIA DE SISTEMAS;2024;1;83
52299;INGENIERIA DE TELECOMUNICACIONES;2024;1;20
52130;INGENIERIA ELECTROMECANICA;2024;1;44
52129;INGENIERIA ELECTRONICA;2024;1;23
52272;INGENIERIA EN DISEÑO INDUSTRIAL;2024;1;196
107390;INGENIERIA FINANCIERA;2024;1;149
90442;INGENIERIA MECATRONICA;2024;1;560
109927;INTERPRETACION Y TRADUCCION LENGUA DE SEÑAS COLOMBIANA - ESPAÑOL;2024;1;142
104740;MAESTRIA EN ARTES DIGITALES;2024;1;11
53892;MAESTRIA EN AUTOMATIZACION Y CONTROL INDUSTRIAL;2024;1;13
104905;MAESTRIA EN CIENCIAS: INNOVACION EN EDUCACION;2024;1;7
101804;MAESTRIA EN ESTUDIOS DE CIENCIA, TECNOLOGIA, SOCIEDAD E INNOVACION;2024;1;9
101977;MAESTRIA EN GESTION DE LA INNOVACION TECNOLOGICA, COOPERACION Y DESARROLLO REGIONAL;2024;1;8
106584;MAESTRIA EN GESTION DE ORGANIZACIONES;2024;1;14
53798;MAESTRIA EN GESTION ENERGETICA INDUSTRIAL;2024;1;6
104318;MAESTRIA EN INGENIERIA BIOMEDICA;2024;1;12
106505;MAESTRIA EN METROLOGIA;2024;1;5
103841;MAESTRIA EN SEGURIDAD INFORMATICA;2024;1;17
9466;TECNOLOGIA EN MANTENIMIENTO DE EQUIPO BIOMEDICO;2024;1;107
104332;QUIMICA INDUSTRIAL;2024;1;128
107534;TECNOLOGIA EN SISTEMAS DE PRODUCCION;2024;1;124
106810;TECNOLOGIA EN SISTEMAS ELECTROMECANICOS;2024;1;273
2114;TECNOLOGIA EN ELECTROMECANICA;2014;2;396
6537;TECNOLOGIA EN TELECOMUNICACIONES;2014;2;416
9466;TECNOLOGIA EN MANTENIMIENTO DE EQUIPO BIOMEDICO;2014;2;108
11085;TECNOLOGIA EN ELECTRONICA;2014;2;206
15600;TECNOLOGIA EN GESTION ADMINISTRATIVA;2014;2;1131
17720;TECNOLOGIA EN INFORMATICA MUSICAL;2014;2;193
52129;INGENIERIA ELECTRONICA;2014;2;84
52130;INGENIERIA ELECTROMECANICA;2014;2;131
52131;INGENIERIA DE PRODUCCION;2014;2;145
52204;INGENIERIA FINANCIERA Y DE NEGOCIOS;2014;2;183
52205;INGENIERIA DE SISTEMAS;2014;2;136
52272;INGENIERIA EN DISEÑO INDUSTRIAL;2014;2;87
52299;INGENIERIA DE TELECOMUNICACIONES;2014;2;95
53340;INGENIERIA BIOMEDICA;2014;2;416
53798;MAESTRIA EN GESTION ENERGETICA INDUSTRIAL;2014;2;13
53799;TECNOLOGIA EN CONSTRUCCION DE ACABADOS ARQUITECTONICOS;2014;2;194
53800;TECNOLOGIA EN CALIDAD;2014;2;221
53801;TECNOLOGIA EN SISTEMAS DE INFORMACION;2014;2;702
53802;TECNOLOGIA EN PRODUCCION;2014;2;513
53803;TECNOLOGIA EN ANALISIS DE COSTOS Y PRESUPUESTOS;2014;2;981
53806;TECNOLOGIA EN DISEÑO INDUSTRIAL;2014;2;322
53892;MAESTRIA EN AUTOMATIZACION Y CONTROL INDUSTRIAL;2014;2;16
55018;ESPECIALIZACION EN FINANZAS;2014;2;33
55019;ESPECIALIZACION EN FORMULACION Y EVALUACION DE PROYECTOS;2014;2;103
55072;ADMINISTRACION TECNOLOGICA;2014;2;282
90355;ARTES VISUALES;2014;2;147
90442;INGENIERIA MECATRONICA;2014;2;310
101804;MAESTRIA EN ESTUDIOS DE CIENCIA, TECNOLOGIA, SOCIEDAD E INNOVACION;2014;2;1
101977;MAESTRIA EN GESTION DE LA INNOVACION TECNOLOGICA, COOPERACION Y DESARROLLO REGIONAL;2014;2;1
102977;MAESTRIA EN DESARROLLO SOSTENIBLE;2014;2;26
2114;TECNOLOGIA EN ELECTROMECANICA;2015;2;349
6537;TECNOLOGIA EN TELECOMUNICACIONES;2015;2;330
9466;TECNOLOGIA EN MANTENIMIENTO DE EQUIPO BIOMEDICO;2015;2;99
11085;TECNOLOGIA EN ELECTRONICA;2015;2;185
15600;TECNOLOGIA EN GESTION ADMINISTRATIVA;2015;2;1198
17720;TECNOLOGIA EN INFORMATICA MUSICAL;2015;2;160
52129;INGENIERIA ELECTRONICA;2015;2;77
52130;INGENIERIA ELECTROMECANICA;2015;2;115
52131;INGENIERIA DE PRODUCCION;2015;2;170
52204;INGENIERIA FINANCIERA Y DE NEGOCIOS;2015;2;189
52205;INGENIERIA DE SISTEMAS;2015;2;126
52299;INGENIERIA DE TELECOMUNICACIONES;2015;2;110
53340;INGENIERIA BIOMEDICA;2015;2;424
53798;MAESTRIA EN GESTION ENERGETICA INDUSTRIAL;2015;2;10
53799;TECNOLOGIA EN CONSTRUCCION DE ACABADOS ARQUITECTONICOS;2015;2;129
53800;TECNOLOGIA EN CALIDAD;2015;2;252
53801;TECNOLOGIA EN SISTEMAS DE INFORMACION;2015;2;698
53802;TECNOLOGIA EN PRODUCCION;2015;2;488
53803;TECNOLOGIA EN ANALISIS DE COSTOS Y PRESUPUESTOS;2015;2;866
53806;TECNOLOGIA EN DISEÑO INDUSTRIAL;2015;2;180
53892;MAESTRIA EN AUTOMATIZACION Y CONTROL INDUSTRIAL;2015;2;13
55018;ESPECIALIZACION EN FINANZAS;2015;2;52
55019;ESPECIALIZACION EN FORMULACION Y EVALUACION DE PROYECTOS;2015;2;108
55072;ADMINISTRACION TECNOLOGICA;2015;2;271
90355;ARTES VISUALES;2015;2;88
90442;INGENIERIA MECATRONICA;2015;2;343
101804;MAESTRIA EN ESTUDIOS DE CIENCIA, TECNOLOGIA, SOCIEDAD E INNOVACION;2015;2;11
102977;MAESTRIA EN DESARROLLO SOSTENIBLE;2015;2;14
103841;MAESTRIA EN SEGURIDAD INFORMATICA;2015;2;38
103928;INGENIERIA EN DISEÑO INDUSTRIAL;2015;2;183
104318;MAESTRIA EN INGENIERIA BIOMEDICA;2015;2;18
104332;QUIMICA INDUSTRIAL;2015;2;35
104365;MAESTRIA EN CIENCIAS BASICAS: INNOVACIONES EN EDUCACION;2015;2;35
2114;TECNOLOGIA EN ELECTROMECANICA;2016;2;310
6537;TECNOLOGIA EN TELECOMUNICACIONES;2016;2;279
9466;TECNOLOGIA EN MANTENIMIENTO DE EQUIPO BIOMEDICO;2016;2;106
11085;TECNOLOGIA EN ELECTRONICA;2016;2;157
15600;TECNOLOGIA EN GESTION ADMINISTRATIVA;2016;2;964
17720;TECNOLOGIA EN INFORMATICA MUSICAL;2016;2;108
52129;INGENIERIA ELECTRÓNICA;2016;2;54
52130;INGENIERIA ELECTROMECÁNICA;2016;2;75
52131;INGENIERIA DE PRODUCCIÓN;2016;2;143
52204;INGENIERIA FINANCIERA Y DE NEGOCIOS;2016;2;176
52205;INGENIERIA DE SISTEMAS;2016;2;115
52299;INGENIERÍA DE TELECOMUNICACIONES;2016;2;65
53340;INGENIERÍA BIOMÉDICA;2016;2;336
53798;MAESTRÍA EN GESTIÓN ENERGÉTICA INDUSTRIAL;2016;2;11
53799;TECNOLOGIA EN CONSTRUCCION DE ACABADOS ARQUITECTONICOS;2016;2;164
53800;TECNOLOGIA EN CALIDAD;2016;2;154
53801;TECNOLOGIA EN SISTEMAS DE INFORMACION;2016;2;714
53802;TECNOLOGIA EN PRODUCCIÓN;2016;2;402
53803;TECNOLOGIA EN ANALISIS DE COSTOS Y PRESUPUESTOS;2016;2;723
53806;TECNOLOGÍA EN DISEÑO INDUSTRIAL;2016;2;147
53892;MAESTRÍA EN AUTOMATIZACIÓN Y CONTROL INDUSTRIAL;2016;2;9
55018;ESPECIALIZACIÓN EN FINANZAS;2016;2;23
55019;ESPECIALIZACIÓN EN FORMULACIÓN Y EVALUACIÓN DE PROYECTOS;2016;2;98
55072;ADMINISTRACIÓN TECNÓLOGICA;2016;2;299
90355;ARTES VISUALES;2016;2;112
90442;INGENIERÍA MECATRÓNICA;2016;2;294
101977;MAESTRÍA EN GESTIÓN DE LA INNOVACIÓN TECNOLÓGICA, COOPERACIÓN Y DESARROLLO REGIONAL;2016;2;15
102977;MAESTRÍA EN DESARROLLO SOSTENIBLE;2016;2;18
103841;MAESTRIA EN SEGURIDAD INFORMÁTICA;2016;2;13
103928;INGENIERÍA EN DISEÑO INDUSTRIAL;2016;2;221
104318;MAESTRÍA EN INGENIERÍA BIOMÉDICA;2016;2;13
104332;QUÍMICA INDUSTRIAL;2016;2;56
104682;ARTES DE LA GRABACION Y PRODUCCION MUSICAL;2016;2;87
104740;MAESTRÍA EN ARTES DIGITALES;2016;2;10
104905;MAESTRÍA EN CIENCIAS: INNOVACION EN EDUCACIÓN;2016;2;94
101804;MAESTRÍA EN ESTUDIOS DE CIENCIA, TECNOLOGÍA, SOCIEDAD E INNOVACIÓN;2016;2;1
101804;MAESTRÍA EN ESTUDIOS DE CIENCIA, TECNOLOGÍA, SOCIEDAD E INNOVACIÓN;2017;2;4
101977;MAESTRÍA EN GESTIÓN DE LA INNOVACIÓN TECNOLÓGICA, COOPERACIÓN Y DESARROLLO REGIONAL;2017;2;24
102977;MAESTRÍA EN DESARROLLO SOSTENIBLE;2017;2;34
103841;MAESTRIA EN SEGURIDAD INFORMÁTICA;2017;2;16
103928;INGENIERÍA EN DISEÑO INDUSTRIAL;2017;2;206
104318;MAESTRÍA EN INGENIERÍA BIOMÉDICA;2017;2;10
104332;QUÍMICA INDUSTRIAL;2017;2;77
104682;ARTES DE LA GRABACION Y PRODUCCION MUSICAL;2017;2;127
104740;MAESTRÍA EN ARTES DIGITALES;2017;2;7
104905;MAESTRÍA EN CIENCIAS: INNOVACION EN EDUCACIÓN;2017;2;17
105852;CONTADURÍA PÚBLICA;2017;2;342
106188;INGENIER¿A DE LA CALIDAD;2017;2;93
106314;CINE;2017;2;90
11085;TECNOLOGIA EN ELECTRONICA;2017;2;169
15600;TECNOLOGIA EN GESTION ADMINISTRATIVA;2017;2;1138
17720;TECNOLOGIA EN INFORMATICA MUSICAL;2017;2;70
2114;TECNOLOGIA EN ELECTROMECANICA;2017;2;334
52129;INGENIERIA ELECTR¿NICA;2017;2;55
52130;INGENIERIA ELECTROMEC¿NICA;2017;2;112
52131;INGENIERIA DE PRODUCCIÓN;2017;2;123
52204;INGENIERIA FINANCIERA Y DE NEGOCIOS;2017;2;208
52205;INGENIERIA DE SISTEMAS;2017;2;130
52299;INGENIER¿A DE TELECOMUNICACIONES;2017;2;69
53340;INGENIERÍA BIOMÉDICA;2017;2;338
53798;MAESTRÍA EN GESTIÓN ENERGÉTICA INDUSTRIAL;2017;2;20
53799;TECNOLOGIA EN CONSTRUCCION DE ACABADOS ARQUITECTONICOS;2017;2;176
53800;TECNOLOGIA EN CALIDAD;2017;2;166
53801;TECNOLOGIA EN SISTEMAS DE INFORMACION;2017;2;772
53802;TECNOLOGIA EN PRODUCCIÓN;2017;2;374
53803;TECNOLOGIA EN ANALISIS DE COSTOS Y PRESUPUESTOS;2017;2;764
53806;TECNOLOG¿A EN DISE¿O INDUSTRIAL;2017;2;154
53892;MAESTRÍA EN AUTOMATIZACIÓN Y CONTROL INDUSTRIAL;2017;2;14
55018;ESPECIALIZACIÓN EN FINANZAS;2017;2;33
55019;ESPECIALIZACIÓN EN FORMULACIÓN Y EVALUACIÓN DE PROYECTOS;2017;2;114
55072;ADMINISTRACIÓN TECNÓLOGICA;2017;2;302
6537;TECNOLOGIA EN TELECOMUNICACIONES;2017;2;246
90355;ARTES VISUALES;2017;2;108
90442;INGENIERÍA MECATRÓNICA;2017;2;308
9466;TECNOLOGIA EN MANTENIMIENTO DE EQUIPO BIOMEDICO;2017;2;146
0;SIN PROGRAMA ESPECIFICO;2018;2;160
101804;MAESTRÍA EN ESTUDIOS DE CIENCIA, TECNOLOGÍA, SOCIEDAD E INNOVACIÓN;2018;2;11
101977;MAESTRÍA EN GESTIÓN DE LA INNOVACIÓN TECNOLÓGICA, COOPERACIÓN Y DESARROLLO REGIONAL;2018;2;24
102977;MAESTRÍA EN DESARROLLO SOSTENIBLE;2018;2;21
103841;MAESTRIA EN SEGURIDAD INFORMÁTICA;2018;2;29
103928;INGENIERÍA EN DISEÑO INDUSTRIAL;2018;2;177
104318;MAESTRÍA EN INGENIERÍA BIOMÉDICA;2018;2;10
104332;QUÍMICA INDUSTRIAL;2018;2;86
104682;ARTES DE LA GRABACION Y PRODUCCION MUSICAL;2018;2;155
104740;MAESTRÍA EN ARTES DIGITALES;2018;2;2
104905;MAESTRÍA EN CIENCIAS: INNOVACION EN EDUCACIÓN;2018;2;10
105852;CONTADURÍA PÚBLICA;2018;2;457
106188;INGENIERÍA DE LA CALIDAD;2018;2;139
106314;CINE;2018;2;164
106505;MAESTRÍA EN METROLOGÍA;2018;2;8
106584;MAESTRÍA EN GESTIÓN DE ORGANIZACIONES;2018;2;20
106810;TECNOLOGIA EN SISTEMAS ELECTROMECANICOS;2018;2;168
107004;TECNOLOGIA EN AUTOMATIZACIÓN ELECTRONICA;2018;2;245
15600;TECNOLOGIA EN GESTION ADMINISTRATIVA;2018;2;1899
17720;TECNOLOGIA EN INFORMATICA MUSICAL;2018;2;173
52129;INGENIERIA ELECTRÓNICA;2018;2;59
52130;INGENIERIA ELECTROMECÁNICA;2018;2;89
52131;INGENIERIA DE PRODUCCIÓN;2018;2;138
52204;INGENIERIA FINANCIERA Y DE NEGOCIOS;2018;2;225
52205;INGENIERIA DE SISTEMAS;2018;2;122
52299;INGENIERÍA DE TELECOMUNICACIONES;2018;2;71
53340;INGENIERÍA BIOMÉDICA;2018;2;315
53798;MAESTRÍA EN GESTIÓN ENERGÉTICA INDUSTRIAL;2018;2;7
53799;TECNOLOGIA EN CONSTRUCCION DE ACABADOS ARQUITECTONICOS;2018;2;175
53800;TECNOLOGIA EN CALIDAD;2018;2;349
53801;TECNOLOGIA EN SISTEMAS DE INFORMACION;2018;2;200
53802;TECNOLOGIA EN PRODUCCIÓN;2018;2;414
53803;TECNOLOGIA EN ANALISIS DE COSTOS Y PRESUPUESTOS;2018;2;764
53806;TECNOLOGÍA EN DISEÑO INDUSTRIAL;2018;2;181
53892;MAESTRÍA EN AUTOMATIZACIÓN Y CONTROL INDUSTRIAL;2018;2;9
55018;ESPECIALIZACIÓN EN FINANZAS;2018;2;20
55019;ESPECIALIZACIÓN EN FORMULACIÓN Y EVALUACIÓN DE PROYECTOS;2018;2;89
55072;ADMINISTRACIÓN TECNÓLOGICA;2018;2;290
6537;TECNOLOGIA EN TELECOMUNICACIONES;2018;2;73
90355;ARTES VISUALES;2018;2;98
90442;INGENIERÍA MECATRÓNICA;2018;2;376
9466;TECNOLOGIA EN MANTENIMIENTO DE EQUIPO BIOMEDICO;2018;2;320
101804;MAESTRÍA EN ESTUDIOS DE CIENCIA, TECNOLOGÍA, SOCIEDAD E INNOVACIÓN;2019;2;9
101977;MAESTRÍA EN GESTIÓN DE LA INNOVACIÓN TECNOLÓGICA, COOPERACIÓN Y DESARROLLO REGIONAL;2019;2;13
102977;MAESTRÍA EN DESARROLLO SOSTENIBLE;2019;2;14
103841;MAESTRIA EN SEGURIDAD INFORMÁTICA;2019;2;17
103928;INGENIERÍA EN DISEÑO INDUSTRIAL;2019;2;114
104318;MAESTRÍA EN INGENIERÍA BIOMÉDICA;2019;2;10
104332;QUÍMICA INDUSTRIAL;2019;2;76
104682;ARTES DE LA GRABACION Y PRODUCCION MUSICAL;2019;2;148
104740;MAESTRÍA EN ARTES DIGITALES;2019;2;13
104905;MAESTRÍA EN CIENCIAS: INNOVACION EN EDUCACIÓN;2019;2;6
105852;CONTADURÍA PÚBLICA;2019;2;458
106188;INGENIERÍA DE LA CALIDAD;2019;2;104
106314;CINE;2019;2;145
106505;MAESTRÍA EN METROLOGÍA;2019;2;10
106584;MAESTRÍA EN GESTIÓN DE ORGANIZACIONES;2019;2;25
106810;TECNOLOGIA EN SISTEMAS ELECTROMECANICOS;2019;2;165
106973;DOCTORADO EN INGENIERÍA;2019;2;6
107004;TECNOLOGIA EN AUTOMATIZACIÓN ELECTRONICA;2019;2;72
107381;TECNOLOGÍA EN GESTIÓN DE REDES DE  TELECOMUNICACIONES;2019;2;164
107390;INGENIERIA FINANCIERA;2019;2;179
107391;CIENCIAS AMBIENTALES;2019;2;72
107423;MAESTRÍA EN ESTUDIOS DE CIENCIA, TECNOLOGÍA, SOCIEDAD E INNOVACIÓN;2019;2;9
107534;TECNOLOGIA EN SISTEMAS DE PRODUCCIÓN;2019;2;155
107535;TECNOLOGIA EN DESARROLLO DE SOFTWARE;2019;2;553
107695;ESPECIALIZACIÓN EN GESTIÓN DE SISTEMAS ENERGÉTICOS INDUSTRIALES;2019;2;13
107696;TECNOLOGÍA EN GESTIÓN ADMINISTRATIVA;2019;2;148
107943;TECNOLOGÍA EN ANÁLISIS DE COSTOS Y PRESUPUESTOS;2019;2;11
15600;TECNOLOGIA EN GESTION ADMINISTRATIVA;2019;2;853
17720;TECNOLOGIA EN INFORMATICA MUSICAL;2019;2;170
52129;INGENIERIA ELECTRÓNICA;2019;2;30
52130;INGENIERIA ELECTROMECÁNICA;2019;2;64
52131;INGENIERIA DE PRODUCCIÓN;2019;2;116
52205;INGENIERIA DE SISTEMAS;2019;2;99
52299;INGENIERÍA DE TELECOMUNICACIONES;2019;2;45
53340;INGENIERÍA BIOMÉDICA;2019;2;181
53798;MAESTRÍA EN GESTIÓN ENERGÉTICA INDUSTRIAL;2019;2;6
53799;TECNOLOGIA EN CONSTRUCCION DE ACABADOS ARQUITECTONICOS;2019;2;155
53800;TECNOLOGIA EN CALIDAD;2019;2;305
53803;TECNOLOGIA EN ANALISIS DE COSTOS Y PRESUPUESTOS;2019;2;430
53806;TECNOLOGÍA EN DISEÑO INDUSTRIAL;2019;2;166
53892;MAESTRÍA EN AUTOMATIZACIÓN Y CONTROL INDUSTRIAL;2019;2;12
55018;ESPECIALIZACIÓN EN FINANZAS;2019;2;41
55019;ESPECIALIZACIÓN EN FORMULACIÓN Y EVALUACIÓN DE PROYECTOS;2019;2;85
55072;ADMINISTRACIÓN TECNÓLOGICA;2019;2;219
90355;ARTES VISUALES;2019;2;71
90442;INGENIERÍA MECATRÓNICA;2019;2;189
9466;TECNOLOGIA EN MANTENIMIENTO DE EQUIPO BIOMEDICO;2019;2;166
0;SIN PROGRAMA ESPECIFICO;2019;2;1432
101977;MAESTRÍA EN GESTIÓN DE LA INNOVACIÓN TECNOLÓGICA, COOPERACIÓN Y DESARROLLO REGIONAL;2020;2;18
102977;MAESTRÍA EN DESARROLLO SOSTENIBLE;2020;2;15
103841;MAESTRIA EN SEGURIDAD INFORMÁTICA;2020;2;9
103928;INGENIERÍA EN DISEÑO INDUSTRIAL;2020;2;99
104318;MAESTRÍA EN INGENIERÍA BIOMÉDICA;2020;2;6
104332;QUÍMICA INDUSTRIAL;2020;2;54
104682;ARTES DE LA GRABACION Y PRODUCCION MUSICAL;2020;2;115
104740;MAESTRÍA EN ARTES DIGITALES;2020;2;11
104905;MAESTRÍA EN CIENCIAS: INNOVACION EN EDUCACIÓN;2020;2;68
105852;CONTADURÍA PÚBLICA;2020;2;240
106188;INGENIERÍA DE LA CALIDAD;2020;2;67
106314;CINE;2020;2;86
106505;MAESTRÍA EN METROLOGÍA;2020;2;2
106584;MAESTRÍA EN GESTIÓN DE ORGANIZACIONES;2020;2;12
106810;TECNOLOGIA EN SISTEMAS ELECTROMECANICOS;2020;2;145
106973;DOCTORADO EN INGENIERÍA;2020;2;5
107004;TECNOLOGIA EN AUTOMATIZACIÓN ELECTRONICA;2020;2;79
107381;TECNOLOGÍA EN GESTIÓN DE REDES DE  TELECOMUNICACIONES;2020;2;155
107390;INGENIERIA FINANCIERA;2020;2;204
107391;CIENCIAS AMBIENTALES;2020;2;65
107423;MAESTRÍA EN ESTUDIOS DE CIENCIA, TECNOLOGÍA, SOCIEDAD E INNOVACIÓN;2020;2;15
107534;TECNOLOGIA EN SISTEMAS DE PRODUCCIÓN;2020;2;168
107535;TECNOLOGIA EN DESARROLLO DE SOFTWARE;2020;2;717
107695;ESPECIALIZACIÓN EN GESTIÓN DE SISTEMAS ENERGÉTICOS INDUSTRIALES;2020;2;6
107696;TECNOLOGÍA EN GESTIÓN ADMINISTRATIVA;2020;2;218
107943;TECNOLOGÍA EN ANÁLISIS DE COSTOS Y PRESUPUESTOS;2020;2;116
108394;TECNOLOGÍA EN DISEÑO Y PROGRAMACIÓN DE SOLUCIONES DE SOFTWARE COMO SERVICIO;2020;2;21
108639;TECNOLOGÍA EN DESARROLLO DE APLICACIONES PARA DISPOSITIVOS MÓVILES;2020;2;24
108789;TECNOLOGIA EN CONTROL DE LA CALIDAD;2020;2;223
15600;TECNOLOGIA EN GESTION ADMINISTRATIVA;2020;2;803
17720;TECNOLOGIA EN INFORMATICA MUSICAL;2020;2;151
52129;INGENIERIA ELECTRÓNICA;2020;2;29
52130;INGENIERIA ELECTROMECÁNICA;2020;2;48
52131;INGENIERIA DE PRODUCCIÓN;2020;2;76
52205;INGENIERIA DE SISTEMAS;2020;2;90
52299;INGENIERÍA DE TELECOMUNICACIONES;2020;2;36
53340;INGENIERÍA BIOMÉDICA;2020;2;150
53798;MAESTRÍA EN GESTIÓN ENERGÉTICA INDUSTRIAL;2020;2;7
53799;TECNOLOGIA EN CONSTRUCCION DE ACABADOS ARQUITECTONICOS;2020;2;150
53803;TECNOLOGIA EN ANALISIS DE COSTOS Y PRESUPUESTOS;2020;2;318
53806;TECNOLOGÍA EN DISEÑO INDUSTRIAL;2020;2;118
53892;MAESTRÍA EN AUTOMATIZACIÓN Y CONTROL INDUSTRIAL;2020;2;11
55018;ESPECIALIZACIÓN EN FINANZAS;2020;2;20
55019;ESPECIALIZACIÓN EN FORMULACIÓN Y EVALUACIÓN DE PROYECTOS;2020;2;65
55072;ADMINISTRACIÓN TECNÓLOGICA;2020;2;147
90355;ARTES VISUALES;2020;2;39
90442;INGENIERÍA MECATRÓNICA;2020;2;125
9466;TECNOLOGIA EN MANTENIMIENTO DE EQUIPO BIOMEDICO;2020;2;265
101977;MAESTRÍA EN GESTIÓN DE LA INNOVACIÓN TECNOLÓGICA, COOPERACIÓN Y DESARROLLO REGIONAL;2021;2;11
102977;MAESTRÍA EN DESARROLLO SOSTENIBLE;2021;2;15
103841;MAESTRIA EN SEGURIDAD INFORMÁTICA;2021;2;18
103928;INGENIERÍA EN DISEÑO INDUSTRIAL;2021;2;90
104318;MAESTRÍA EN INGENIERÍA BIOMÉDICA;2021;2;4
104332;QUÍMICA INDUSTRIAL;2021;2;77
104682;ARTES DE LA GRABACION Y PRODUCCION MUSICAL;2021;2;137
104740;MAESTRÍA EN ARTES DIGITALES;2021;2;6
104905;MAESTRÍA EN CIENCIAS: INNOVACION EN EDUCACIÓN;2021;2;14
105852;CONTADURÍA PÚBLICA;2021;2;358
