CÓDIGO SNIES DEL PROGRAMA;PROGRAMA ACADÉMICO ;PROGRAMA ACADÉMICO SIA;AÑO;SEMESTRE;ADMITIDOS
108789;TECNOLOGIA EN CONTROL DE LA CALIDAD;CONTROL DE LA CALIDAD;2023;2;21
108639;TECNOLOGIA EN DESARROLLO DE APLICACIONES PARA DISPOSITIVOS MOVILES;DESARROLLO DE APLICACIONES PARA DISPOSITIVOS MOVILES - VIRTUAL;2023;2;6
107535;TECNOLOGIA EN DESARROLLO DE SOFTWARE;DESARROLLO DE SOFTWARE;2023;2;188
1518;TECNOLOGIA EN DISEÑO INDUSTRIAL;DISEÑO INDUSTRIAL;2023;2;23
108394;TECNOLOGIA EN DISEÑO Y PROGRAMACION DE SOLUCIONES DE SOFTWARE COMO SERVICIO;DISEÑO Y PROGRAMACION DE SOLUCIONES DE SOFTWARE COMO SERVICIO - VIRTUAL;2023;2;42
106973;DOCTORADO EN INGENIERIA;DOCTORADO EN INGENIERIA;2023;2;1
11085;TECNOLOGIA EN ELECTRONICA;ELECTRONICA;2023;2;1
110901;ESPECIALIZACION EN CIBERSEGURIDAD;ESPECIALIZACION EN CIBERSEGURIDAD - VIRTUAL;2023;2;1
55018;ESPECIALIZACION EN FINANZAS;ESPECIALIZACION EN FINANZAS;2023;2;1
55019;ESPECIALIZACION EN FORMULACION Y EVALUACION DE PROYECTOS;ESPECIALIZACION EN FORMULACION Y EVALUACION DE PROYECTOS;2023;2;6
110940;ESPECIALIZACION EN GESTION DEL MANTENIMIENTO INDUSTRIAL;ESPECIALIZACION EN GESTION DEL MANTENIMIENTO INDUSTRIAL;2023;2;3
110940;ESPECIALIZACION EN GESTION DEL MANTENIMIENTO INDUSTRIAL;ESPECIALIZACION EN GESTION DEL MANTENIMIENTO INDUSTRIAL-VIRTUAL;2023;2;1
111033;ESPECIALIZACION EN INGENIERIA DE SOFTWARE;ESPECIALIZACION EN INGENIERIA DE SOFTWARE - VIRTUAL;2023;2;1
15600;TECNOLOGIA EN GESTION ADMINISTRATIVA;GESTION ADMINISTRATIVA;2023;2;101
15600;TECNOLOGIA EN GESTION ADMINISTRATIVA;GESTION ADMINISTRATIVA - VIRTUAL;2023;2;114
111337;TECNOLOGIA EN GESTION COMERCIAL;GESTION COMERCIAL - DUAL VIRTUAL;2023;2;1
107381;TECNOLOGIA EN GESTION DE REDES DE  TELECOMUNICACIONES;GESTION DE REDES DE TELECOMUNICACIONES;2023;2;22
17720;TECNOLOGIA EN INFORMATICA MUSICAL;INFORMATICA MUSICAL;2023;2;10
53340;INGENIERIA BIOMEDICA;INGENIERIA BIOMEDICA;2023;2;43
106188;INGENIERIA DE LA CALIDAD;INGENIERIA DE LA CALIDAD;2023;2;34
52131;INGENIERIA DE PRODUCCION;INGENIERIA DE PRODUCCION;2023;2;43
52205;INGENIERIA DE SISTEMAS;INGENIERIA DE SISTEMAS;2023;2;46
52299;INGENIERIA DE TELECOMUNICACIONES;INGENIERIA DE TELECOMUNICACIONES;2023;2;13
