CÓDIGO SNIES DEL PROGRAMA;PROGRAMA ACADÉMICO ;PROGRAMA ACADÉMICO SIA;AÑO;SEMESTRE;PRIMIPAROS
4750;TECNOLOGIA EN ANALISIS DE COSTOS Y PRESUPUESTOS;ANALISIS DE COSTOS Y PRESUPUESTOS;2023;2;235
4750;TECNOLOGIA EN ANALISIS DE COSTOS Y PRESUPUESTOS;ANALISIS DE COSTOS Y PRESUPUESTOS - VIRTUAL;2023;2;74
104682;ARTES DE LA GRABACION Y PRODUCCION MUSICAL;ARTES DE LA GRABACION Y PRODUCCION MUSICAL;2023;2;51
90355;ARTES VISUALES;ARTES VISUALES;2023;2;55
107004;TECNOLOGIA EN AUTOMATIZACION ELECTRONICA;AUTOMATIZACION ELECTRONICA;2023;2;90
107391;CIENCIAS AMBIENTALES;CIENCIAS AMBIENTALES;2023;2;58
106314;CINE;CINE;2023;2;49
4277;TECNOLOGIA EN CONSTRUCCION DE ACABADOS ARQUITECTONICOS;CONSTRUCCION DE ACABADOS ARQUITECTONICOS;2023;2;57
105852;CONTADURIA PUBLICA;CONTADURIA PUBLICA;2023;2;119
108789;TECNOLOGIA EN CONTROL DE LA CALIDAD;CONTROL DE LA CALIDAD;2023;2;54
108639;TECNOLOGIA EN DESARROLLO DE APLICACIONES PARA DISPOSITIVOS MOVILES;DESARROLLO DE APLICACIONES PARA DISPOSITIVOS MOVILES - VIRTUAL;2023;2;76
107535;TECNOLOGIA EN DESARROLLO DE SOFTWARE;DESARROLLO DE SOFTWARE;2023;2;522
1518;TECNOLOGIA EN DISEÑO INDUSTRIAL;DISEÑO INDUSTRIAL;2023;2;31
108394;TECNOLOGIA EN DISEÑO Y PROGRAMACION DE SOLUCIONES DE SOFTWARE COMO SERVICIO;DISEÑO Y PROGRAMACION DE SOLUCIONES DE SOFTWARE COMO SERVICIO - VIRTUAL;2023;2;138
106973;DOCTORADO EN INGENIERIA;DOCTORADO EN INGENIERIA;2023;2;2
110901;ESPECIALIZACION EN CIBERSEGURIDAD;ESPECIALIZACION EN CIBERSEGURIDAD - PRESENCIAL;2023;2;18
110901;ESPECIALIZACION EN CIBERSEGURIDAD;ESPECIALIZACION EN CIBERSEGURIDAD - VIRTUAL;2023;2;16
55018;ESPECIALIZACION EN FINANZAS;ESPECIALIZACION EN FINANZAS;2023;2;32
55019;ESPECIALIZACION EN FORMULACION Y EVALUACION DE PROYECTOS;ESPECIALIZACION EN FORMULACION Y EVALUACION DE PROYECTOS;2023;2;55
107695;ESPECIALIZACION EN GESTION DE SISTEMAS ENERGETICOS INDUSTRIALES;ESPECIALIZACION EN GESTION DE SISTEMAS ENERGETICOS INDUSTRIALES;2023;2;4
110940;ESPECIALIZACION EN GESTION DEL MANTENIMIENTO INDUSTRIAL;ESPECIALIZACION EN GESTION DEL MANTENIMIENTO INDUSTRIAL;2023;2;12
110940;ESPECIALIZACION EN GESTION DEL MANTENIMIENTO INDUSTRIAL;ESPECIALIZACION EN GESTION DEL MANTENIMIENTO INDUSTRIAL-VIRTUAL;2023;2;29
