CÓDIGO SNIES DEL PROGRAMA;PROGRAMA ACADÉMICO ;PROGRAMA ACADÉMICO SIA;AÑO;SEMESTRE;EGRESADOS
4750;ANALISIS DE COSTOS Y PRESUPUESTOS;ANALISIS DE COSTOS Y PRESUPUESTOS - A DISTANCIA;2015;1;5
53800;TECNOLOGIA EN CALIDAD;CALIDAD;2015;1;48
4277;TECNOLOGIA EN CONSTRUCCION DE ACABADOS ARQUITECTONICOS;CONSTRUCCION DE ACABADOS ARQUITECTONICOS;2015;1;31
1518;TECNOLOGIA EN DISEÑO INDUSTRIAL;DISEÑO INDUSTRIAL;2015;1;39
2114;TECNOLOGIA EN ELECTROMECANICA;ELECTROMECANICA;2015;1;70
11085;TECNOLOGIA EN ELECTRONICA;ELECTRONICA;2015;1;33
55018;ESPECIALIZACION EN FINANZAS;ESPECIALIZACION EN FINANZAS;2015;1;13
55019;ESPECIALIZACION EN FORMULACION Y EVALUACION DE PROYECTOS;ESPECIALIZACION EN FORMULACION Y EVALUACION DE PROYECTOS;2015;1;45
107695;ESPECIALIZACION EN GESTION ENERGETICA INDUSTRIAL;ESPECIALIZACION EN GESTION ENERGETICA INDUSTRIAL;2015;1;1
15600;TECNOLOGIA EN GESTION ADMINISTRATIVA;GESTION ADMINISTRATIVA;2015;1;188
17720;TECNOLOGIA EN INFORMATICA MUSICAL;INFORMATICA MUSICAL;2015;1;8
53340;INGENIERIA BIOMEDICA;INGENIERIA BIOMEDICA;2015;1;17
52131;INGENIERIA DE PRODUCCION;INGENIERIA DE PRODUCCION;2015;1;142
52205;INGENIERIA DE SISTEMAS;INGENIERIA DE SISTEMAS;2015;1;29
52299;INGENIERIA DE TELECOMUNICACIONES;INGENIERIA DE TELECOMUNICACIONES;2015;1;32
52130;INGENIERIA ELECTROMECANICA;INGENIERIA ELECTROMECANICA;2015;1;39
52129;INGENIERIA ELECTRONICA;INGENIERIA ELECTRONICA;2015;1;18
52272;INGENIERIA EN DISEÑO INDUSTRIAL;INGENIERIA EN DISEÑO INDUSTRIAL CICLO COMPLEMENTARIO;2015;1;36
52204;INGENIERIA FINANCIERA Y DE NEGOCIOS;INGENIERIA FINANCIERA Y DE NEGOCIOS;2015;1;113
53892;MAESTRIA EN AUTOMATIZACION Y CONTROL INDUSTRIAL;MAESTRIA EN AUTOMATIZACION Y CONTROL INDUSTRIAL;2015;1;3
101804;MAESTRIA EN ESTUDIOS DE CIENCIA, TECNOLOGIA, SOCIEDAD E INNOVACION;MAESTRIA EN ESTUDIOS DE CTS E INNOVACION - PRESENCIAL;2015;1;1
53798;MAESTRIA EN GESTION ENERGETICA INDUSTRIAL;MAESTRIA EN GESTION ENERGETICA INDUSTRIAL;2015;1;4
9466;TECNOLOGIA EN MANTENIMIENTO DE EQUIPO BIOMEDICO;MANTENIMIENTO DE EQUIPO BIOMEDICO;2015;1;29
6536;TECNOLOGIA EN PRODUCCION;PRODUCCION;2015;1;105
8485;TECNOLOGIA EN SISTEMAS DE INFORMACION;SISTEMAS DE INFORMACION;2015;1;98
6537;TECNOLOGIA EN TELECOMUNICACIONES;TELECOMUNICACIONES;2015;1;87
55072;ADMINISTRACION TECNOLOGICA;ADMINISTRACION TECNOLOGICA;2015;2;30
4750;TECNOLOGIA EN ANALISIS DE COSTOS Y PRESUPUESTOS;ANALISIS DE COSTOS Y PRESUPUESTOS;2015;2;166
4750;ANALISIS DE COSTOS Y PRESUPUESTOS;ANALISIS DE COSTOS Y PRESUPUESTOS - A DISTANCIA;2015;2;4
90355;ARTES VISUALES;ARTES VISUALES;2015;2;7
53800;TECNOLOGIA EN CALIDAD;CALIDAD;2015;2;32
4277;TECNOLOGIA EN CONSTRUCCION DE ACABADOS ARQUITECTONICOS;CONSTRUCCION DE ACABADOS ARQUITECTONICOS;2015;2;35
1518;TECNOLOGIA EN DISEÑO INDUSTRIAL;DISEÑO INDUSTRIAL;2015;2;33
2114;TECNOLOGIA EN ELECTROMECANICA;ELECTROMECANICA;2015;2;49
11085;TECNOLOGIA EN ELECTRONICA;ELECTRONICA;2015;2;19
55018;ESPECIALIZACION EN FINANZAS;ESPECIALIZACION EN FINANZAS;2015;2;15
55019;ESPECIALIZACION EN FORMULACION Y EVALUACION DE PROYECTOS;ESPECIALIZACION EN FORMULACION Y EVALUACION DE PROYECTOS;2015;2;62
15600;TECNOLOGIA EN GESTION ADMINISTRATIVA;GESTION ADMINISTRATIVA;2015;2;154
17720;TECNOLOGIA EN INFORMATICA MUSICAL;INFORMATICA MUSICAL;2015;2;12
53340;INGENIERIA BIOMEDICA;INGENIERIA BIOMEDICA;2015;2;58
52131;INGENIERIA DE PRODUCCION;INGENIERIA DE PRODUCCION;2015;2;68
52205;INGENIERIA DE SISTEMAS;INGENIERIA DE SISTEMAS;2015;2;27
52299;INGENIERIA DE TELECOMUNICACIONES;INGENIERIA DE TELECOMUNICACIONES;2015;2;30
52130;INGENIERIA ELECTROMECANICA;INGENIERIA ELECTROMECANICA;2015;2;34
52129;INGENIERIA ELECTRONICA;INGENIERIA ELECTRONICA;2015;2;17
52272;INGENIERIA EN DISEÑO INDUSTRIAL;INGENIERIA EN DISEÑO INDUSTRIAL CICLO COMPLEMENTARIO;2015;2;36
52204;INGENIERIA FINANCIERA Y DE NEGOCIOS;INGENIERIA FINANCIERA Y DE NEGOCIOS;2015;2;89
90442;INGENIERIA MECATRONICA;INGENIERIA MECATRONICA;2015;2;5
53892;MAESTRIA EN AUTOMATIZACION Y CONTROL INDUSTRIAL;MAESTRIA EN AUTOMATIZACION Y CONTROL INDUSTRIAL;2015;2;5
101804;MAESTRIA EN ESTUDIOS DE CIENCIA, TECNOLOGIA, SOCIEDAD E INNOVACION;MAESTRIA EN ESTUDIOS DE CTS E INNOVACION - PRESENCIAL;2015;2;1
101977;MAESTRIA EN GESTION DE LA INNOVACION TECNOLOGICA, COOPERACION Y DESARROLLO REGIONAL;MAESTRIA EN GESTION DE LA INNOVACION TECNOLOGICA COOPERACION Y DESARROLLO REGIONAL;2015;2;3
53798;MAESTRIA EN GESTION ENERGETICA INDUSTRIAL;MAESTRIA EN GESTION ENERGETICA INDUSTRIAL;2015;2;2
9466;TECNOLOGIA EN MANTENIMIENTO DE EQUIPO BIOMEDICO;MANTENIMIENTO DE EQUIPO BIOMEDICO;2015;2;29
6536;TECNOLOGIA EN PRODUCCION;PRODUCCION;2015;2;108
8485;TECNOLOGIA EN SISTEMAS DE INFORMACION;SISTEMAS DE INFORMACION;2015;2;93
6537;TECNOLOGIA EN TELECOMUNICACIONES;TELECOMUNICACIONES;2015;2;60
55072;ADMINISTRACION TECNOLOGICA;ADMINISTRACION TECNOLOGICA;2016;1;37
4750;TECNOLOGIA EN ANALISIS DE COSTOS Y PRESUPUESTOS;ANALISIS DE COSTOS Y PRESUPUESTOS;2016;1;157
4750;ANALISIS DE COSTOS Y PRESUPUESTOS;ANALISIS DE COSTOS Y PRESUPUESTOS - A DISTANCIA;2016;1;8
90355;ARTES VISUALES;ARTES VISUALES;2016;1;3
53800;TECNOLOGIA EN CALIDAD;CALIDAD;2016;1;44
4277;TECNOLOGIA EN CONSTRUCCION DE ACABADOS ARQUITECTONICOS;CONSTRUCCION DE ACABADOS ARQUITECTONICOS;2016;1;23
1518;TECNOLOGIA EN DISEÑO INDUSTRIAL;DISEÑO INDUSTRIAL;2016;1;55
2114;TECNOLOGIA EN ELECTROMECANICA;ELECTROMECANICA;2016;1;35
11085;TECNOLOGIA EN ELECTRONICA;ELECTRONICA;2016;1;19
55018;ESPECIALIZACION EN FINANZAS;ESPECIALIZACION EN FINANZAS;2016;1;17
55019;ESPECIALIZACION EN FORMULACION Y EVALUACION DE PROYECTOS;ESPECIALIZACION EN FORMULACION Y EVALUACION DE PROYECTOS;2016;1;75
15600;TECNOLOGIA EN GESTION ADMINISTRATIVA;GESTION ADMINISTRATIVA;2016;1;188
17720;TECNOLOGIA EN INFORMATICA MUSICAL;INFORMATICA MUSICAL;2016;1;13
53340;INGENIERIA BIOMEDICA;INGENIERIA BIOMEDICA;2016;1;53
52131;INGENIERIA DE PRODUCCION;INGENIERIA DE PRODUCCION;2016;1;60
52205;INGENIERIA DE SISTEMAS;INGENIERIA DE SISTEMAS;2016;1;21
52299;INGENIERIA DE TELECOMUNICACIONES;INGENIERIA DE TELECOMUNICACIONES;2016;1;26
52130;INGENIERIA ELECTROMECANICA;INGENIERIA ELECTROMECANICA;2016;1;33
52129;INGENIERIA ELECTRONICA;INGENIERIA ELECTRONICA;2016;1;9
52272;INGENIERIA EN DISEÑO INDUSTRIAL ;INGENIERIA EN DISEÑO INDUSTRIAL CICLO COMPLEMENTARIO;2016;1;48
52204;INGENIERIA FINANCIERA Y DE NEGOCIOS;INGENIERIA FINANCIERA Y DE NEGOCIOS;2016;1;67
90442;INGENIERIA MECATRONICA;INGENIERIA MECATRONICA;2016;1;3
53892;MAESTRIA EN AUTOMATIZACION Y CONTROL INDUSTRIAL;MAESTRIA EN AUTOMATIZACION Y CONTROL INDUSTRIAL;2016;1;5
101804;MAESTRIA EN ESTUDIOS DE CIENCIA, TECNOLOGIA, SOCIEDAD E INNOVACION;MAESTRIA EN ESTUDIOS DE CTS E INNOVACION - PRESENCIAL;2016;1;3
101977;MAESTRIA EN GESTION DE LA INNOVACION TECNOLOGICA, COOPERACION Y DESARROLLO REGIONAL;MAESTRIA EN GESTION DE LA INNOVACION TECNOLOGICA COOPERACION Y DESARROLLO REGIONAL;2016;1;2
53798;MAESTRIA EN GESTION ENERGETICA INDUSTRIAL;MAESTRIA EN GESTION ENERGETICA INDUSTRIAL;2016;1;1
9466;TECNOLOGIA EN MANTENIMIENTO DE EQUIPO BIOMEDICO;MANTENIMIENTO DE EQUIPO BIOMEDICO;2016;1;15
6536;TECNOLOGIA EN PRODUCCION;PRODUCCION;2016;1;123
8485;TECNOLOGIA EN SISTEMAS DE INFORMACION;SISTEMAS DE INFORMACION;2016;1;66
6537;TECNOLOGIA EN TELECOMUNICACIONES;TELECOMUNICACIONES;2016;1;47
55072;ADMINISTRACION TECNOLOGICA;ADMINISTRACION TECNOLOGICA;2016;2;41
4750;TECNOLOGIA EN ANALISIS DE COSTOS Y PRESUPUESTOS;ANALISIS DE COSTOS Y PRESUPUESTOS;2016;2;164
4750;ANALISIS DE COSTOS Y PRESUPUESTOS;ANALISIS DE COSTOS Y PRESUPUESTOS - A DISTANCIA;2016;2;1
90355;ARTES VISUALES;ARTES VISUALES;2016;2;5
53800;TECNOLOGIA EN CALIDAD;CALIDAD;2016;2;32
4277;TECNOLOGIA EN CONSTRUCCION DE ACABADOS ARQUITECTONICOS;CONSTRUCCION DE ACABADOS ARQUITECTONICOS;2016;2;40
1518;TECNOLOGIA EN DISEÑO INDUSTRIAL;DISEÑO INDUSTRIAL;2016;2;45
2114;TECNOLOGIA EN ELECTROMECANICA;ELECTROMECANICA;2016;2;37
11085;TECNOLOGIA EN ELECTRONICA;ELECTRONICA;2016;2;31
55018;ESPECIALIZACION EN FINANZAS;ESPECIALIZACION EN FINANZAS;2016;2;28
