CÓDIGO SNIES DEL PROGRAMA;PROGRAMA ACADÉMICO ;PROGRAMA ACADÉMICO SIA;AÑO;SEMESTRE;EGRESADOS
1518;TECNOLOGIA EN DISEÑO INDUSTRIAL;DISEÑO INDUSTRIAL;2018;1;41
2114;TECNOLOGIA EN ELECTROMECANICA;ELECTROMECANICA;2018;1;35
11085;TECNOLOGIA EN ELECTRONICA;ELECTRONICA;2018;1;32
55018;ESPECIALIZACION EN FINANZAS;ESPECIALIZACION EN FINANZAS;2018;1;26
55019;ESPECIALIZACION EN FORMULACION Y EVALUACION DE PROYECTOS;ESPECIALIZACION EN FORMULACION Y EVALUACION DE PROYECTOS;2018;1;85
55105;FISICA;FISICA;2018;1;2
15600;TECNOLOGIA EN GESTION ADMINISTRATIVA;GESTION ADMINISTRATIVA;2018;1;256
17720;TECNOLOGIA EN INFORMATICA MUSICAL;INFORMATICA MUSICAL;2018;1;9
53340;INGENIERIA BIOMEDICA;INGENIERIA BIOMEDICA;2018;1;63
52131;INGENIERIA DE PRODUCCION;INGENIERIA DE PRODUCCION;2018;1;57
52205;INGENIERIA DE SISTEMAS;INGENIERIA DE SISTEMAS;2018;1;61
52299;INGENIERIA DE TELECOMUNICACIONES;INGENIERIA DE TELECOMUNICACIONES;2018;1;12
52130;INGENIERIA ELECTROMECANICA;INGENIERIA ELECTROMECANICA;2018;1;57
52129;INGENIERIA ELECTRONICA;INGENIERIA ELECTRONICA;2018;1;17
52272;INGENIERIA EN DISEÑO INDUSTRIAL;INGENIERIA EN DISEÑO INDUSTRIAL;2018;1;14
52272;INGENIERIA EN DISEÑO INDUSTRIAL;INGENIERIA EN DISEÑO INDUSTRIAL CICLO COMPLEMENTARIO;2018;1;9
52204;INGENIERIA FINANCIERA Y DE NEGOCIOS;INGENIERIA FINANCIERA Y DE NEGOCIOS;2018;1;74
90442;INGENIERIA MECATRONICA;INGENIERIA MECATRONICA;2018;1;20
53892;MAESTRIA EN AUTOMATIZACION Y CONTROL INDUSTRIAL;MAESTRIA EN AUTOMATIZACION Y CONTROL INDUSTRIAL;2018;1;8
104905;MAESTRIA EN CIENCIAS: INNOVACION EN EDUCACION;MAESTRIA EN CIENCIAS: INNOVACION EN EDUCACION;2018;1;5
102977;MAESTRIA EN DESARROLLO SOSTENIBLE;MAESTRIA EN DESARROLLO SOSTENIBLE;2018;1;1
101804;MAESTRIA EN ESTUDIOS DE CIENCIA, TECNOLOGIA, SOCIEDAD E INNOVACION;MAESTRIA EN ESTUDIOS DE CTS E INNOVACION - PRESENCIAL;2018;1;1
101977;MAESTRIA EN GESTION DE LA INNOVACION TECNOLOGICA, COOPERACION Y DESARROLLO REGIONAL;MAESTRIA EN GESTION DE LA INNOVACION TECNOLOGICA COOPERACION Y DESARROLLO REGIONAL;2018;1;6
53798;MAESTRIA EN GESTION ENERGETICA INDUSTRIAL;MAESTRIA EN GESTION ENERGETICA INDUSTRIAL;2018;1;2
104318;MAESTRIA EN INGENIERIA BIOMEDICA;MAESTRIA EN INGENIERIA BIOMEDICA;2018;1;2
9466;TECNOLOGIA EN MANTENIMIENTO DE EQUIPO BIOMEDICO;MANTENIMIENTO DE EQUIPO BIOMEDICO;2018;1;13
6536;TECNOLOGIA EN PRODUCCION;PRODUCCION;2018;1;79
8485;TECNOLOGIA EN SISTEMAS DE INFORMACION;SISTEMAS DE INFORMACION;2018;1;80
6537;TECNOLOGIA EN TELECOMUNICACIONES;TELECOMUNICACIONES;2018;1;40
55072;ADMINISTRACION TECNOLOGICA;ADMINISTRACION TECNOLOGICA;2018;2;58
4750;TECNOLOGIA EN ANALISIS DE COSTOS Y PRESUPUESTOS;ANALISIS DE COSTOS Y PRESUPUESTOS;2018;2;148
90355;ARTES VISUALES;ARTES VISUALES;2018;2;12
53800;TECNOLOGIA EN CALIDAD;CALIDAD;2018;2;44
4277;TECNOLOGIA EN CONSTRUCCION DE ACABADOS ARQUITECTONICOS;CONSTRUCCION DE ACABADOS ARQUITECTONICOS;2018;2;25
1518;TECNOLOGIA EN DISEÑO INDUSTRIAL;DISEÑO INDUSTRIAL;2018;2;29
2114;TECNOLOGIA EN ELECTROMECANICA;ELECTROMECANICA;2018;2;49
11085;TECNOLOGIA EN ELECTRONICA;ELECTRONICA;2018;2;30
55018;ESPECIALIZACION EN FINANZAS;ESPECIALIZACION EN FINANZAS;2018;2;26
55019;ESPECIALIZACION EN FORMULACION Y EVALUACION DE PROYECTOS;ESPECIALIZACION EN FORMULACION Y EVALUACION DE PROYECTOS;2018;2;74
55105;FISICA;FISICA;2018;2;2
15600;TECNOLOGIA EN GESTION ADMINISTRATIVA;GESTION ADMINISTRATIVA;2018;2;245
17720;TECNOLOGIA EN INFORMATICA MUSICAL;INFORMATICA MUSICAL;2018;2;19
53340;INGENIERIA BIOMEDICA;INGENIERIA BIOMEDICA;2018;2;73
52131;INGENIERIA DE PRODUCCION;INGENIERIA DE PRODUCCION;2018;2;73
52205;INGENIERIA DE SISTEMAS;INGENIERIA DE SISTEMAS;2018;2;58
52299;INGENIERIA DE TELECOMUNICACIONES;INGENIERIA DE TELECOMUNICACIONES;2018;2;43
52130;INGENIERIA ELECTROMECANICA;INGENIERIA ELECTROMECANICA;2018;2;59
52129;INGENIERIA ELECTRONICA;INGENIERIA ELECTRONICA;2018;2;28
52272;INGENIERIA EN DISEÑO INDUSTRIAL;INGENIERIA EN DISEÑO INDUSTRIAL;2018;2;17
52272;INGENIERIA EN DISEÑO INDUSTRIAL;INGENIERIA EN DISEÑO INDUSTRIAL CICLO COMPLEMENTARIO;2018;2;7
52204;INGENIERIA FINANCIERA Y DE NEGOCIOS;INGENIERIA FINANCIERA Y DE NEGOCIOS;2018;2;100
90442;INGENIERIA MECATRONICA;INGENIERIA MECATRONICA;2018;2;26
104740;MAESTRIA EN ARTES DIGITALES;MAESTRIA EN ARTES DIGITALES;2018;2;5
53892;MAESTRIA EN AUTOMATIZACION Y CONTROL INDUSTRIAL;MAESTRIA EN AUTOMATIZACION Y CONTROL INDUSTRIAL;2018;2;4
104905;MAESTRIA EN CIENCIAS: INNOVACION EN EDUCACION;MAESTRIA EN CIENCIAS: INNOVACION EN EDUCACION;2018;2;63
102977;MAESTRIA EN DESARROLLO SOSTENIBLE;MAESTRIA EN DESARROLLO SOSTENIBLE;2018;2;5
101804;MAESTRIA EN ESTUDIOS DE CIENCIA, TECNOLOGIA, SOCIEDAD E INNOVACION;MAESTRIA EN ESTUDIOS DE CTS E INNOVACION - PRESENCIAL;2018;2;7
101977;MAESTRIA EN GESTION DE LA INNOVACION TECNOLOGICA, COOPERACION Y DESARROLLO REGIONAL;MAESTRIA EN GESTION DE LA INNOVACION TECNOLOGICA COOPERACION Y DESARROLLO REGIONAL;2018;2;9
53798;MAESTRIA EN GESTION ENERGETICA INDUSTRIAL;MAESTRIA EN GESTION ENERGETICA INDUSTRIAL;2018;2;7
103841;MAESTRIA EN SEGURIDAD INFORMATICA;MAESTRIA EN SEGURIDAD INFORMATICA;2018;2;3
9466;TECNOLOGIA EN MANTENIMIENTO DE EQUIPO BIOMEDICO;MANTENIMIENTO DE EQUIPO BIOMEDICO;2018;2;15
6536;TECNOLOGIA EN PRODUCCION;PRODUCCION;2018;2;97
8485;TECNOLOGIA EN SISTEMAS DE INFORMACION;SISTEMAS DE INFORMACION;2018;2;86
6537;TECNOLOGIA EN TELECOMUNICACIONES;TELECOMUNICACIONES;2018;2;51
55072;ADMINISTRACION TECNOLOGICA;ADMINISTRACION TECNOLOGICA;2019;1;87
4750;TECNOLOGIA EN ANALISIS DE COSTOS Y PRESUPUESTOS;ANALISIS DE COSTOS Y PRESUPUESTOS;2019;1;22
90355;ARTES VISUALES;ARTES VISUALES;2019;1;9
53800;TECNOLOGIA EN CALIDAD;CALIDAD;2019;1;49
4277;TECNOLOGIA EN CONSTRUCCION DE ACABADOS ARQUITECTONICOS;CONSTRUCCION DE ACABADOS ARQUITECTONICOS;2019;1;31
1518;TECNOLOGIA EN DISEÑO INDUSTRIAL;DISEÑO INDUSTRIAL;2019;1;33
2114;TECNOLOGIA EN ELECTROMECANICA;ELECTROMECANICA;2019;1;21
11085;TECNOLOGIA EN ELECTRONICA;ELECTRONICA;2019;1;4
55018;ESPECIALIZACION EN FINANZAS;ESPECIALIZACION EN FINANZAS;2019;1;25
55019;ESPECIALIZACION EN FORMULACION Y EVALUACION DE PROYECTOS;ESPECIALIZACION EN FORMULACION Y EVALUACION DE PROYECTOS;2019;1;49
15600;TECNOLOGIA EN GESTION ADMINISTRATIVA;GESTION ADMINISTRATIVA;2019;1;231
17720;TECNOLOGIA EN INFORMATICA MUSICAL;INFORMATICA MUSICAL;2019;1;24
53340;INGENIERIA BIOMEDICA;INGENIERIA BIOMEDICA;2019;1;82
52131;INGENIERIA DE PRODUCCION;INGENIERIA DE PRODUCCION;2019;1;50
52205;INGENIERIA DE SISTEMAS;INGENIERIA DE SISTEMAS;2019;1;81
52299;INGENIERIA DE TELECOMUNICACIONES;INGENIERIA DE TELECOMUNICACIONES;2019;1;27
52130;INGENIERIA ELECTROMECANICA;INGENIERIA ELECTROMECANICA;2019;1;39
52129;INGENIERIA ELECTRONICA;INGENIERIA ELECTRONICA;2019;1;12
52272;INGENIERIA EN DISEÑO INDUSTRIAL;INGENIERIA EN DISEÑO INDUSTRIAL;2019;1;24
52272;INGENIERIA EN DISEÑO INDUSTRIAL;INGENIERIA EN DISEÑO INDUSTRIAL CICLO COMPLEMENTARIO;2019;1;3
52204;INGENIERIA FINANCIERA Y DE NEGOCIOS;INGENIERIA FINANCIERA Y DE NEGOCIOS;2019;1;72
90442;INGENIERIA MECATRONICA;INGENIERIA MECATRONICA;2019;1;27
104740;MAESTRIA EN ARTES DIGITALES;MAESTRIA EN ARTES DIGITALES;2019;1;2
53892;MAESTRIA EN AUTOMATIZACION Y CONTROL INDUSTRIAL;MAESTRIA EN AUTOMATIZACION Y CONTROL INDUSTRIAL;2019;1;3
104905;MAESTRIA EN CIENCIAS: INNOVACION EN EDUCACION;MAESTRIA EN CIENCIAS: INNOVACION EN EDUCACION;2019;1;23
102977;MAESTRIA EN DESARROLLO SOSTENIBLE;MAESTRIA EN DESARROLLO SOSTENIBLE;2019;1;4
101804;MAESTRIA EN ESTUDIOS DE CIENCIA, TECNOLOGIA, SOCIEDAD E INNOVACION;MAESTRIA EN ESTUDIOS DE CTS E INNOVACION - PRESENCIAL;2019;1;3
101977;MAESTRIA EN GESTION DE LA INNOVACION TECNOLOGICA, COOPERACION Y DESARROLLO REGIONAL;MAESTRIA EN GESTION DE LA INNOVACION TECNOLOGICA COOPERACION Y DESARROLLO REGIONAL;2019;1;2
53798;MAESTRIA EN GESTION ENERGETICA INDUSTRIAL;MAESTRIA EN GESTION ENERGETICA INDUSTRIAL;2019;1;5
104318;MAESTRIA EN INGENIERIA BIOMEDICA;MAESTRIA EN INGENIERIA BIOMEDICA;2019;1;2
103841;MAESTRIA EN SEGURIDAD INFORMATICA;MAESTRIA EN SEGURIDAD INFORMATICA;2019;1;1
9466;TECNOLOGIA EN MANTENIMIENTO DE EQUIPO BIOMEDICO;MANTENIMIENTO DE EQUIPO BIOMEDICO;2019;1;13
6536;TECNOLOGIA EN PRODUCCION;PRODUCCION;2019;1;22
8485;TECNOLOGIA EN SISTEMAS DE INFORMACION;SISTEMAS DE INFORMACION;2019;1;18
6537;TECNOLOGIA EN TELECOMUNICACIONES;TELECOMUNICACIONES;2019;1;10
55072;ADMINISTRACION TECNOLOGICA;ADMINISTRACION TECNOLOGICA;2019;2;115
4750;TECNOLOGIA EN ANALISIS DE COSTOS Y PRESUPUESTOS;ANALISIS DE COSTOS Y PRESUPUESTOS;2019;2;283
104682;ARTES DE LA GRABACION Y PRODUCCION MUSICAL;ARTES DE LA GRABACION Y PRODUCCION MUSICAL;2019;2;8
90355;ARTES VISUALES;ARTES VISUALES;2019;2;8
53800;TECNOLOGIA EN CALIDAD;CALIDAD;2019;2;48
4277;TECNOLOGIA EN CONSTRUCCION DE ACABADOS ARQUITECTONICOS;CONSTRUCCION DE ACABADOS ARQUITECTONICOS;2019;2;48
1518;TECNOLOGIA EN DISEÑO INDUSTRIAL;DISEÑO INDUSTRIAL;2019;2;59
2114;TECNOLOGIA EN ELECTROMECANICA;ELECTROMECANICA;2019;2;94
11085;TECNOLOGIA EN ELECTRONICA;ELECTRONICA;2019;2;57
55018;ESPECIALIZACION EN FINANZAS;ESPECIALIZACION EN FINANZAS;2019;2;30
55019;ESPECIALIZACION EN FORMULACION Y EVALUACION DE PROYECTOS;ESPECIALIZACION EN FORMULACION Y EVALUACION DE PROYECTOS;2019;2;93
15600;TECNOLOGIA EN GESTION ADMINISTRATIVA;GESTION ADMINISTRATIVA;2019;2;298
17720;TECNOLOGIA EN INFORMATICA MUSICAL;INFORMATICA MUSICAL;2019;2;18
53340;INGENIERIA BIOMEDICA;INGENIERIA BIOMEDICA;2019;2;110
52131;INGENIERIA DE PRODUCCION;INGENIERIA DE PRODUCCION;2019;2;103
52205;INGENIERIA DE SISTEMAS;INGENIERIA DE SISTEMAS;2019;2;101
52299;INGENIERIA DE TELECOMUNICACIONES;INGENIERIA DE TELECOMUNICACIONES;2019;2;50
52130;INGENIERIA ELECTROMECANICA;INGENIERIA ELECTROMECANICA;2019;2;63
52129;INGENIERIA ELECTRONICA;INGENIERIA ELECTRONICA;2019;2;26
52272;INGENIERIA EN DISEÑO INDUSTRIAL;INGENIERIA EN DISEÑO INDUSTRIAL;2019;2;45
52204;INGENIERIA FINANCIERA Y DE NEGOCIOS;INGENIERIA FINANCIERA Y DE NEGOCIOS;2019;2;120
90442;INGENIERIA MECATRONICA;INGENIERIA MECATRONICA;2019;2;49
104740;MAESTRIA EN ARTES DIGITALES;MAESTRIA EN ARTES DIGITALES;2019;2;6
53892;MAESTRIA EN AUTOMATIZACION Y CONTROL INDUSTRIAL;MAESTRIA EN AUTOMATIZACION Y CONTROL INDUSTRIAL;2019;2;12
104905;MAESTRIA EN CIENCIAS: INNOVACION EN EDUCACION;MAESTRIA EN CIENCIAS: INNOVACION EN EDUCACION;2019;2;11
102977;MAESTRIA EN DESARROLLO SOSTENIBLE;MAESTRIA EN DESARROLLO SOSTENIBLE;2019;2;8
101804;MAESTRIA EN ESTUDIOS DE CIENCIA, TECNOLOGIA, SOCIEDAD E INNOVACION;MAESTRIA EN ESTUDIOS DE CTS E INNOVACION - PRESENCIAL;2019;2;9
101977;MAESTRIA EN GESTION DE LA INNOVACION TECNOLOGICA, COOPERACION Y DESARROLLO REGIONAL;MAESTRIA EN GESTION DE LA INNOVACION TECNOLOGICA COOPERACION Y DESARROLLO REGIONAL;2019;2;13
53798;MAESTRIA EN GESTION ENERGETICA INDUSTRIAL;MAESTRIA EN GESTION ENERGETICA INDUSTRIAL;2019;2;3
104318;MAESTRIA EN INGENIERIA BIOMEDICA;MAESTRIA EN INGENIERIA BIOMEDICA;2019;2;5
103841;MAESTRIA EN SEGURIDAD INFORMATICA;MAESTRIA EN SEGURIDAD INFORMATICA;2019;2;16
9466;TECNOLOGIA EN MANTENIMIENTO DE EQUIPO BIOMEDICO;MANTENIMIENTO DE EQUIPO BIOMEDICO;2019;2;24
6536;TECNOLOGIA EN PRODUCCION;PRODUCCION;2019;2;156
8485;TECNOLOGIA EN SISTEMAS DE INFORMACION;SISTEMAS DE INFORMACION;2019;2;143
6537;TECNOLOGIA EN TELECOMUNICACIONES;TELECOMUNICACIONES;2019;2;79
55072;ADMINISTRACION TECNOLOGICA;ADMINISTRACION TECNOLOGICA;2020;1;70
4750;TECNOLOGIA EN ANALISIS DE COSTOS Y PRESUPUESTOS;ANALISIS DE COSTOS Y PRESUPUESTOS;2020;1;23
104682;ARTES DE LA GRABACION Y PRODUCCION MUSICAL;ARTES DE LA GRABACION Y PRODUCCION MUSICAL;2020;1;1
90355;ARTES VISUALES;ARTES VISUALES;2020;1;11
53800;TECNOLOGIA EN CALIDAD;CALIDAD;2020;1;17
4277;TECNOLOGIA EN CONSTRUCCION DE ACABADOS ARQUITECTONICOS;CONSTRUCCION DE ACABADOS ARQUITECTONICOS;2020;1;15
1518;TECNOLOGIA EN DISEÑO INDUSTRIAL;DISEÑO INDUSTRIAL;2020;1;19
2114;TECNOLOGIA EN ELECTROMECANICA;ELECTROMECANICA;2020;1;14
11085;TECNOLOGIA EN ELECTRONICA;ELECTRONICA;2020;1;8
55018;ESPECIALIZACION EN FINANZAS;ESPECIALIZACION EN FINANZAS;2020;1;4
55019;ESPECIALIZACION EN FORMULACION Y EVALUACION DE PROYECTOS;ESPECIALIZACION EN FORMULACION Y EVALUACION DE PROYECTOS;2020;1;27
15600;TECNOLOGIA EN GESTION ADMINISTRATIVA;GESTION ADMINISTRATIVA;2020;1;180
17720;TECNOLOGIA EN INFORMATICA MUSICAL;INFORMATICA MUSICAL;2020;1;9
53340;INGENIERIA BIOMEDICA;INGENIERIA BIOMEDICA;2020;1;59
52131;INGENIERIA DE PRODUCCION;INGENIERIA DE PRODUCCION;2020;1;32
52205;INGENIERIA DE SISTEMAS;INGENIERIA DE SISTEMAS;2020;1;31
52299;INGENIERIA DE TELECOMUNICACIONES;INGENIERIA DE TELECOMUNICACIONES;2020;1;35
52130;INGENIERIA ELECTROMECANICA;INGENIERIA ELECTROMECANICA;2020;1;21
52129;INGENIERIA ELECTRONICA;INGENIERIA ELECTRONICA;2020;1;8
52272;INGENIERIA EN DISEÑO INDUSTRIAL;INGENIERIA EN DISEÑO INDUSTRIAL;2020;1;4
52204;INGENIERIA FINANCIERA Y DE NEGOCIOS;INGENIERIA FINANCIERA Y DE NEGOCIOS;2020;1;35
90442;INGENIERIA MECATRONICA;INGENIERIA MECATRONICA;2020;1;19
104740;MAESTRIA EN ARTES DIGITALES;MAESTRIA EN ARTES DIGITALES;2020;1;1
53892;MAESTRIA EN AUTOMATIZACION Y CONTROL INDUSTRIAL;MAESTRIA EN AUTOMATIZACION Y CONTROL INDUSTRIAL;2020;1;2
104905;MAESTRIA EN CIENCIAS: INNOVACION EN EDUCACION;MAESTRIA EN CIENCIAS: INNOVACION EN EDUCACION;2020;1;7
102977;MAESTRIA EN DESARROLLO SOSTENIBLE;MAESTRIA EN DESARROLLO SOSTENIBLE;2020;1;2
101804;MAESTRIA EN ESTUDIOS DE CIENCIA, TECNOLOGIA, SOCIEDAD E INNOVACION;MAESTRIA EN ESTUDIOS DE CTS E INNOVACION - PRESENCIAL;2020;1;1
101977;MAESTRIA EN GESTION DE LA INNOVACION TECNOLOGICA, COOPERACION Y DESARROLLO REGIONAL;MAESTRIA EN GESTION DE LA INNOVACION TECNOLOGICA COOPERACION Y DESARROLLO REGIONAL;2020;1;2
53798;MAESTRIA EN GESTION ENERGETICA INDUSTRIAL;MAESTRIA EN GESTION ENERGETICA INDUSTRIAL;2020;1;3
103841;MAESTRIA EN SEGURIDAD INFORMATICA;MAESTRIA EN SEGURIDAD INFORMATICA;2020;1;4
9466;TECNOLOGIA EN MANTENIMIENTO DE EQUIPO BIOMEDICO;MANTENIMIENTO DE EQUIPO BIOMEDICO;2020;1;3
6536;TECNOLOGIA EN PRODUCCION;PRODUCCION;2020;1;11
8485;TECNOLOGIA EN SISTEMAS DE INFORMACION;SISTEMAS DE INFORMACION;2020;1;19
6537;TECNOLOGIA EN TELECOMUNICACIONES;TELECOMUNICACIONES;2020;1;6
55072;ADMINISTRACION TECNOLOGICA;ADMINISTRACION TECNOLOGICA;2020;2;109
4750;TECNOLOGIA EN ANALISIS DE COSTOS Y PRESUPUESTOS;ANALISIS DE COSTOS Y PRESUPUESTOS;2020;2;303
104682;ARTES DE LA GRABACION Y PRODUCCION MUSICAL;ARTES DE LA GRABACION Y PRODUCCION MUSICAL;2020;2;10
90355;ARTES VISUALES;ARTES VISUALES;2020;2;23
53800;TECNOLOGIA EN CALIDAD;CALIDAD;2020;2;43
4277;TECNOLOGIA EN CONSTRUCCION DE ACABADOS ARQUITECTONICOS;CONSTRUCCION DE ACABADOS ARQUITECTONICOS;2020;2;44
1518;TECNOLOGIA EN DISEÑO INDUSTRIAL;DISEÑO INDUSTRIAL;2020;2;69
2114;TECNOLOGIA EN ELECTROMECANICA;ELECTROMECANICA;2020;2;84
11085;TECNOLOGIA EN ELECTRONICA;ELECTRONICA;2020;2;38
55018;ESPECIALIZACION EN FINANZAS;ESPECIALIZACION EN FINANZAS;2020;2;48
55019;ESPECIALIZACION EN FORMULACION Y EVALUACION DE PROYECTOS;ESPECIALIZACION EN FORMULACION Y EVALUACION DE PROYECTOS;2020;2;123
107695;ESPECIALIZACION EN GESTION DE SISTEMAS ENERGETICOS INDUSTRIALES;ESPECIALIZACION EN GESTION DE SISTEMAS ENERGETICOS INDUSTRIALES;2020;2;8
55105;FISICA;FISICA;2020;2;1
15600;TECNOLOGIA EN GESTION ADMINISTRATIVA;GESTION ADMINISTRATIVA;2020;2;237
17720;TECNOLOGIA EN INFORMATICA MUSICAL;INFORMATICA MUSICAL;2020;2;12
53340;INGENIERIA BIOMEDICA;INGENIERIA BIOMEDICA;2020;2;127
52131;INGENIERIA DE PRODUCCION;INGENIERIA DE PRODUCCION;2020;2;123
52205;INGENIERIA DE SISTEMAS;INGENIERIA DE SISTEMAS;2020;2;135
52299;INGENIERIA DE TELECOMUNICACIONES;INGENIERIA DE TELECOMUNICACIONES;2020;2;50
52130;INGENIERIA ELECTROMECANICA;INGENIERIA ELECTROMECANICA;2020;2;64
52129;INGENIERIA ELECTRONICA;INGENIERIA ELECTRONICA;2020;2;26
52272;INGENIERIA EN DISEÑO INDUSTRIAL;INGENIERIA EN DISEÑO INDUSTRIAL;2020;2;52
107390;INGENIERIA FINANCIERA;INGENIERIA FINANCIERA;2020;2;7
52204;INGENIERIA FINANCIERA Y DE NEGOCIOS;INGENIERIA FINANCIERA Y DE NEGOCIOS;2020;2;183
90442;INGENIERIA MECATRONICA;INGENIERIA MECATRONICA;2020;2;66
104740;MAESTRIA EN ARTES DIGITALES;MAESTRIA EN ARTES DIGITALES;2020;2;4
53892;MAESTRIA EN AUTOMATIZACION Y CONTROL INDUSTRIAL;MAESTRIA EN AUTOMATIZACION Y CONTROL INDUSTRIAL;2020;2;5
104905;MAESTRIA EN CIENCIAS: INNOVACION EN EDUCACION;MAESTRIA EN CIENCIAS: INNOVACION EN EDUCACION;2020;2;12
102977;MAESTRIA EN DESARROLLO SOSTENIBLE;MAESTRIA EN DESARROLLO SOSTENIBLE;2020;2;10
101804;MAESTRIA EN ESTUDIOS DE CIENCIA, TECNOLOGIA, SOCIEDAD E INNOVACION;MAESTRIA EN ESTUDIOS DE CTS E INNOVACION - PRESENCIAL;2020;2;1
101977;MAESTRIA EN GESTION DE LA INNOVACION TECNOLOGICA, COOPERACION Y DESARROLLO REGIONAL;MAESTRIA EN GESTION DE LA INNOVACION TECNOLOGICA COOPERACION Y DESARROLLO REGIONAL;2020;2;7
106584;MAESTRIA EN GESTION DE ORGANIZACIONES;MAESTRIA EN GESTION DE ORGANIZACIONES;2020;2;4
53798;MAESTRIA EN GESTION ENERGETICA INDUSTRIAL;MAESTRIA EN GESTION ENERGETICA INDUSTRIAL;2020;2;3
103841;MAESTRIA EN SEGURIDAD INFORMATICA;MAESTRIA EN SEGURIDAD INFORMATICA;2020;2;6
9466;TECNOLOGIA EN MANTENIMIENTO DE EQUIPO BIOMEDICO;MANTENIMIENTO DE EQUIPO BIOMEDICO;2020;2;13
6536;TECNOLOGIA EN PRODUCCION;PRODUCCION;2020;2;132
104332;QUIMICA INDUSTRIAL;QUIMICA INDUSTRIAL;2020;2;2
8485;TECNOLOGIA EN SISTEMAS DE INFORMACION;SISTEMAS DE INFORMACION;2020;2;172
6537;TECNOLOGIA EN TELECOMUNICACIONES;TELECOMUNICACIONES;2020;2;44
55072;ADMINISTRACION TECNOLOGICA;ADMINISTRACION TECNOLOGICA;2021;1;21
4750;TECNOLOGIA EN ANALISIS DE COSTOS Y PRESUPUESTOS;ANALISIS DE COSTOS Y PRESUPUESTOS;2021;1;31
104682;ARTES DE LA GRABACION Y PRODUCCION MUSICAL;ARTES DE LA GRABACION Y PRODUCCION MUSICAL;2021;1;4
90355;ARTES VISUALES;ARTES VISUALES;2021;1;5
53800;TECNOLOGIA EN CALIDAD;CALIDAD;2021;1;9
4277;TECNOLOGIA EN CONSTRUCCION DE ACABADOS ARQUITECTONICOS;CONSTRUCCION DE ACABADOS ARQUITECTONICOS;2021;1;10
1518;TECNOLOGIA EN DISEÑO INDUSTRIAL;DISEÑO INDUSTRIAL;2021;1;6
2114;TECNOLOGIA EN ELECTROMECANICA;ELECTROMECANICA;2021;1;19
11085;TECNOLOGIA EN ELECTRONICA;ELECTRONICA;2021;1;3
55018;ESPECIALIZACION EN FINANZAS;ESPECIALIZACION EN FINANZAS;2021;1;1
107695;ESPECIALIZACION EN GESTION DE SISTEMAS ENERGETICOS INDUSTRIALES;ESPECIALIZACION EN GESTION DE SISTEMAS ENERGETICOS INDUSTRIALES;2021;1;9
15600;TECNOLOGIA EN GESTION ADMINISTRATIVA;GESTION ADMINISTRATIVA;2021;1;162
17720;TECNOLOGIA EN INFORMATICA MUSICAL;INFORMATICA MUSICAL;2021;1;3
53340;INGENIERIA BIOMEDICA;INGENIERIA BIOMEDICA;2021;1;20
106188;INGENIERIA DE LA CALIDAD;INGENIERIA DE LA CALIDAD;2021;1;3
52131;INGENIERIA DE PRODUCCION;INGENIERIA DE PRODUCCION;2021;1;16
52205;INGENIERIA DE SISTEMAS;INGENIERIA DE SISTEMAS;2021;1;20
52299;INGENIERIA DE TELECOMUNICACIONES;INGENIERIA DE TELECOMUNICACIONES;2021;1;13
52130;INGENIERIA ELECTROMECANICA;INGENIERIA ELECTROMECANICA;2021;1;5
52129;INGENIERIA ELECTRONICA;INGENIERIA ELECTRONICA;2021;1;2
52272;INGENIERIA EN DISEÑO INDUSTRIAL;INGENIERIA EN DISEÑO INDUSTRIAL;2021;1;4
107390;INGENIERIA FINANCIERA;INGENIERIA FINANCIERA;2021;1;3
52204;INGENIERIA FINANCIERA Y DE NEGOCIOS;INGENIERIA FINANCIERA Y DE NEGOCIOS;2021;1;33
90442;INGENIERIA MECATRONICA;INGENIERIA MECATRONICA;2021;1;9
104740;MAESTRIA EN ARTES DIGITALES;MAESTRIA EN ARTES DIGITALES;2021;1;2
53892;MAESTRIA EN AUTOMATIZACION Y CONTROL INDUSTRIAL;MAESTRIA EN AUTOMATIZACION Y CONTROL INDUSTRIAL;2021;1;3
104905;MAESTRIA EN CIENCIAS: INNOVACION EN EDUCACION;MAESTRIA EN CIENCIAS: INNOVACION EN EDUCACION;2021;1;7
102977;MAESTRIA EN DESARROLLO SOSTENIBLE;MAESTRIA EN DESARROLLO SOSTENIBLE;2021;1;1
101977;MAESTRIA EN GESTION DE LA INNOVACION TECNOLOGICA, COOPERACION Y DESARROLLO REGIONAL;MAESTRIA EN GESTION DE LA INNOVACION TECNOLOGICA COOPERACION Y DESARROLLO REGIONAL;2021;1;3
106584;MAESTRIA EN GESTION DE ORGANIZACIONES;MAESTRIA EN GESTION DE ORGANIZACIONES;2021;1;1
53798;MAESTRIA EN GESTION ENERGETICA INDUSTRIAL;MAESTRIA EN GESTION ENERGETICA INDUSTRIAL;2021;1;2
104318;MAESTRIA EN INGENIERIA BIOMEDICA;MAESTRIA EN INGENIERIA BIOMEDICA;2021;1;1
103841;MAESTRIA EN SEGURIDAD INFORMATICA;MAESTRIA EN SEGURIDAD INFORMATICA;2021;1;1
9466;TECNOLOGIA EN MANTENIMIENTO DE EQUIPO BIOMEDICO;MANTENIMIENTO DE EQUIPO BIOMEDICO;2021;1;7
6536;TECNOLOGIA EN PRODUCCION;PRODUCCION;2021;1;11
