"SERVIDOR,""SISTEMA OPERATIVO"",""CPU"",""RAM"",""DISCO"",""TIPO"",""IP"",""SERIAL"",""VIGENCIA"",""CANTIDADDISCOSMB"",""POWERSTATE"",""ESTADOTOOLS"",""NOMBREESX"",""CLUSTER"",""GRANJA"",""PROCESADOR"",""MARCA"",""MODELO"",""NOTAS"",""ALIADO"",""SERVICIO"",""RESPONSABLE"",""SEDE"",""ORDENCAMBIO"",""ORDENCOMPRA"",""VALORCOMPRA"",""NUMEROACTIVO"",""PLACA"",""FECHAINIGARANTIA"",""FECHAFINGARANTIA"",""COMPANIA"",""OBSERVACIONES"",""CLASESERVIDOR"",""FECHAREGISTRO"",""FACTURABLE"",""ESTADO"",""AMBIENTEDESTINO"",""FECHARETIRO"",""ORDENCAMBIORETIRO"",""UBICACION"",""ENLINEABASE"",""CIUDAD"",""POLITICASBACKUP"",""UNIDADNEGOCIO"",""RIESGO"""
"ARLADDSP03,""Microsoft Windows Server 2016 Standard"",""4"",""8"",""558"",""Fisico"",""10.202.44.251"",""D2KSZV2"",""Activo"",""0"","""","""","""","""","""",""Intel(R) Xeon(R) E-2124 CPU @ 3.30GHz"",""Dell Inc."",""PowerEdge R340"","""",""ARUS"",""Active Directory"","""",""Santa Barbara"","""",""4501117700"",""2378"",""110000056483"",""88271001"",""2019-03-27"",""2024-04-25"",""CONSULTORIA GESTION DEL RIESGO"","""",""SERVIDOR DE APLICACIONES"",""2021-03-27"",""SI"",""Gestionado"",""PRODUCCION"",""0000-00-00"","""",""SEDE"",""SI"",""BOGOTA"",""SI"","""","""""
"ARLADDSP05,""Microsoft Windows Server 2016 Standard"",""10"",""8"",""1117"",""Fisico"",""10.202.42.251"",""3ZRGT13"",""Activo"",""0"","""","""","""","""","""",""Intel(R) Xeon(R) Silver 4114 CPU @ 2.20GHz"",""Dell Inc."",""PowerEdge R440"","""",""ARUS"",""Active Directory"","""",""ARL Bucaramanga - Regional"","""",""4501258864"",""2810.4"",""110000020417"",""71824002"",""2020-02-13"",""2025-03-14"",""ARL SURA"","""",""SERVIDOR DE APLICACIONES"",""2021-03-27"",""SI"",""Gestionado"",""PRODUCCION"",""0000-00-00"","""",""SEDE"",""SI"",""BUCARAMANGA"",""SI"","""","""""
"ARLADDSP07,""Microsoft Windows Server 2019 Standard"",""10"",""8"",""1117"",""Fisico"",""10.202.22.253"",""57DQQ53"",""Activo"",""0"","""","""","""","""","""",""Intel(R) Xeon(R) Silver 4210 CPU @ 2.20GHz"",""Dell Inc."",""PowerEdge R440"","""",""ARUS"",""Controlador de dominio"",""Jorge Mejia"",""ARL Manizales"",""247159"",""4501325570"",""2810.4"",""110000023385"",""71827002"",""2020-09-02"",""2025-10-02"",""SEGUROS VIDA SURA"","""",""SERVIDOR DE APLICACIONES"",""2021-03-27"",""SI"",""Gestionado"",""PRODUCCION"",""0000-00-00"","""",""SEDE"",""SI"",""MANIZALES"",""SI"","""","""""
"ARLADDSP08,""Microsoft Windows Server 2019 Standard"",""10"",""8"",""1117"",""Fisico"",""10.201.165.21"",""CRVZJD3"",""Activo"",""0"","""","""","""","""","""",""Intel(R) Xeon(R) Silver 4210 CPU @ 2.20GHz"",""Dell Inc."",""PowerEdge R440"","""",""ARUS"",""Active Directory"",""Equipo infraestructura"",""ARL BARRANQUILLA"",""263640"",""4501395687"",""2810.4"",""110000025484"",""71837002"",""2021-05-06"",""2026-06-05"",""SEGUROS VIDA SURA"","""",""SERVIDOR DE DIRECTORIO ACTIVO"",""2021-08-19"","""",""Gestionado"",""PRODUCCION"",""0000-00-00"","""",""SEDE"","""",""BARRANQUILLA"",""SI"","""","""""
"ARLADDSP09,""Microsoft Windows Server 2019 Standard"",""10"",""8"",""1117"",""Fisico"",""10.202.99.249"",""5PF5P23"",""Activo"",""0"","""","""","""","""","""",""Intel(R) Xeon(R) Silver 4114 CPU @ 2.20GHz"",""Dell Inc."",""PowerEdge R440"","""",""ARUS"",""Active Directory"",""Equipo de infraestructura"",""Teleperformance Vizcaya"",""298041"",""4501265896"","""",""110000020661"",""71825002"",""2020-02-18"",""2025-03-19"",""SEGUROS VIDA SURA"",""OC 298041: Se crea está OC para realiza la renovación del servidor de Vizcaya por motivo de obsolescencia tecnológica, la renovación se realiza con el servidor con serial 5PF5P23 que salio de CEOH."",""SERVIDOR DE DIRECTORIO ACTIVO"",""2022-02-03"",""SI"",""Gestionado"",""PRODUCCION"",""0000-00-00"","""",""SEDE"",""SI"","""",""SI"","""","""""
"ARLADDSP10,""Microsoft Windows Server 2019 Standard"",""10"",""16"",""1117"",""Fisico"",""10.210.2.253"",""95463L3"",""Activo"",""0"","""","""","""","""","""",""Intel(R) Xeon(R) Silver 4210 CPU @ 2.20GHz"",""Dell Inc."",""PowerEdge R440"","""",""ARUS"",""Active Directory"",""ALDEMAR POSADA"",""ARL CEM REGIONAL CENTRO"",""291508"",""4501478698"",""2810.41"",""110000026761"",""73816002"",""2021-12-28"",""2027-01-27"",""SEGUROS VIDA SURA"",""OC 345153 aumento de memoria"",""SERVIDOR DE DIRECTORIO ACTIVO"",""2022-05-26"","""",""Gestionado"",""PRODUCCION"",""0000-00-00"","""",""SEDE"","""",""BOGOTA"",""SI"","""","""""
"ARLADDSP11,""Microsoft Windows Server 2022 Standard"",""12"",""8"",""558"",""Fisico"",""10.201.165.51"",""HJJ5DX3"",""Activo"",""0"","""","""","""","""","""",""Intel(R) Xeon(R) Silver 4310 CPU @ 2.10GHz"",""Dell Inc."",""PowerEdge R450"","""",""ARUS"",""Domain Controller"",""Aldemar Posada"",""VIVA ENVIGADO"",""342758"",""4501655456"",""3633.19"",""110000031147"",""20462026"",""2023-05-30"",""2028-08-27"",""ARL SURA"",""Renovacion Éxito viva envigado sale ARLADDSP02 (9LRZ0S2)."",""SERVIDOR DE DIRECTORIO ACTIVO"",""2023-07-04"","""",""Gestionado"",""PRODUCCION"",""0000-00-00"","""",""SEDE"",""SI"",""MEDELLIN"",""NO"","""","""""
"ARLADDSP12,""Microsoft Windows Server 2022 Standard"",""10"",""8"",""1117"",""Fisico"",""10.211.2.251"",""JM7TG13"",""Activo"",""0"","""","""","""","""","""",""Intel(R) Xeon(R) Silver 4114 CPU @ 2.20GHz"",""Dell Inc."",""PowerEdge R440"","""",""ARUS"",""Domain Controller"",""Aldemar Posada"",""ARL CEM CALI"",""362075"",""4501250504"",""1"",""110000020316"",""71823002"",""2020-01-08"",""2025-02-08"",""SEGUROS VIDA SURA"",""Cambio el nombre de ARLADDSP04 a ARLADDSP12 y el SO paso a 2022."",""SERVIDOR DE DIRECTORIO ACTIVO"",""2023-11-30"",""SI"",""Gestionado"",""PRODUCCION"",""0000-00-00"","""",""SEDE"",""SI"",""Cali"",""NO"","""","""""
"Arljoomlaappp01,""Red Hat Enterprise Linux 8 (64-bit)"",""10"",""32"",""215"",""Virtual"",""10.205.28.11 | 10.205.28.22 | 10.9.8.1"","""",""Activo"",""2"",""poweredOn"",""toolsOk"",""vmware35ncelta.suramericana.com.co"",""SURA"",""PDN-Celta"",""Intel(R) Xeon(R) Platinum 8176 CPU @ 2.10GHz"","""",""VMware, Inc."",""OC 	289462 Villa Issa Anuar Azor Vlan 62 IP 10.205.28.11"",""KYNDRYL"",""joomla"",""Serrano Martinez, Daniel Fabian"",""SITIO ALTERNO BOGOTA"",""289462"","""","""","""","""",""0000-00-00"",""0000-00-00"",""ARL SURA"",""OC 	289462 Villa Issa Anuar Azor Vlan 62 IP 10.205.28.11"",""SERVIDOR DE APLICACIONES"",""2021-11-18"",""SI"",""Gestionado"",""PRODUCCION"",""0000-00-00"","""",""DATACENTER BOGOTA"",""SI"","""",""SI"",""ARL SURA"","""""
"Arljoomlaappp02,""Red Hat Enterprise Linux 8 (64-bit)"",""10"",""30"",""215"",""Virtual"",""10.205.28.13 | 10.205.28.23 | 10.9.8.2"","""",""Activo"",""2"",""poweredOn"",""toolsOk"",""vmware42ncelta.suramericana.com.co"",""SURA"",""PDN-Celta"",""Intel(R) Xeon(R) Platinum 8276L CPU @ 2.20GHz"","""",""VMware, Inc."",""OC 	289462 Villa Issa Anuar Azor Vlan 62 IP 10.205.28.13"",""KYNDRYL"",""Joomla"",""Villa Issa Anuar Azor"",""SITIO ALTERNO BOGOTA"",""289462"","""","""","""","""",""0000-00-00"",""0000-00-00"",""ARL SURA"",""OC 	289462 Villa Issa Anuar Azor Vlan 62 IP 10.205.28.13"",""SERVIDOR DE APLICACIONES"",""2021-11-18"",""SI"",""Gestionado"",""PRODUCCION"",""0000-00-00"","""",""DATACENTER BOGOTA"",""SI"","""",""SI"","""","""""
